param,i,j,value
most_recent_tip_age,0,0,0.0285516219
log_R0,0,0,1.7357776301
log_R0,1,1,1.7357776301
log_R0,2,2,1.7357776301
log_R0,3,3,1.7357776301
log_R0,4,4,1.7357776301
log_Sample,0,0,-0.4362251975
log_Sample,1,1,-0.4362251975
log_Sample,2,2,-0.4362251975
log_Sample,3,3,-0.4362251975
log_Sample,4,4,-0.4362251975
log_Recover,0,0,-0.6005085833
log_Recover,1,1,-0.6005085833
log_Recover,2,2,-0.6005085833
log_Recover,3,3,-0.6005085833
log_Recover,4,4,-0.6005085833
log_VisitDepart,0,0,-4.8450732349
log_VisitDepart,0,1,-4.8450732349
log_VisitDepart,0,2,-4.8450732349
log_VisitDepart,0,3,-4.8450732349
log_VisitDepart,0,4,-4.8450732349
log_VisitDepart,1,0,-4.8450732349
log_VisitDepart,1,1,-4.8450732349
log_VisitDepart,1,2,-4.8450732349
log_VisitDepart,1,3,-4.8450732349
log_VisitDepart,1,4,-4.8450732349
log_VisitDepart,2,0,-4.8450732349
log_VisitDepart,2,1,-4.8450732349
log_VisitDepart,2,2,-4.8450732349
log_VisitDepart,2,3,-4.8450732349
log_VisitDepart,2,4,-4.8450732349
log_VisitDepart,3,0,-4.8450732349
log_VisitDepart,3,1,-4.8450732349
log_VisitDepart,3,2,-4.8450732349
log_VisitDepart,3,3,-4.8450732349
log_VisitDepart,3,4,-4.8450732349
log_VisitDepart,4,0,-4.8450732349
log_VisitDepart,4,1,-4.8450732349
log_VisitDepart,4,2,-4.8450732349
log_VisitDepart,4,3,-4.8450732349
log_VisitDepart,4,4,-4.8450732349
log_VisitReturn,0,0,-0.2247590719
log_VisitReturn,0,1,-0.2247590719
log_VisitReturn,0,2,-0.2247590719
log_VisitReturn,0,3,-0.2247590719
log_VisitReturn,0,4,-0.2247590719
log_VisitReturn,1,0,-0.2247590719
log_VisitReturn,1,1,-0.2247590719
log_VisitReturn,1,2,-0.2247590719
log_VisitReturn,1,3,-0.2247590719
log_VisitReturn,1,4,-0.2247590719
log_VisitReturn,2,0,-0.2247590719
log_VisitReturn,2,1,-0.2247590719
log_VisitReturn,2,2,-0.2247590719
log_VisitReturn,2,3,-0.2247590719
log_VisitReturn,2,4,-0.2247590719
log_VisitReturn,3,0,-0.2247590719
log_VisitReturn,3,1,-0.2247590719
log_VisitReturn,3,2,-0.2247590719
log_VisitReturn,3,3,-0.2247590719
log_VisitReturn,3,4,-0.2247590719
log_VisitReturn,4,0,-0.2247590719
log_VisitReturn,4,1,-0.2247590719
log_VisitReturn,4,2,-0.2247590719
log_VisitReturn,4,3,-0.2247590719
log_VisitReturn,4,4,-0.2247590719
log_Infect,0,0,-8.1488259354
log_Infect,1,1,-8.1488259354
log_Infect,2,2,-8.1488259354
log_Infect,3,3,-8.1488259354
log_Infect,4,4,-8.1488259354
