# Adami+18 (https://ui.adsabs.harvard.edu/abs/2018A%26A...620A...5A/abstract)
# http://cosmosdb.iasf-milano.inaf.it/XXL/
#
# XXL Database
# File    : .txt.gz
# Date    : 2020-11-03 18:58
# Table   : XXL_365_GC
# Columns : 28
# Rows    : 365
# SQL     : SELECT XXL_365_GC.identifier, XXL_365_GC.xlssc, XXL_365_GC.
#           ra, XXL_365_GC.decl, XXL_365_GC.z, XXL_365_GC.ngal, XXL_365
#           _GC.class, XXL_365_GC.Mgas500kpc, XXL_365_GC.Mgas500kpc_m, 
#           XXL_365_GC.Mgas500kpc_p, XXL_365_GC.r500mt, XXL_365_GC.T300
#           kpc, XXL_365_GC.T300kpc_m, XXL_365_GC.T300kpc_p, XXL_365_GC
#           .LXXL500MT, XXL_365_GC.LXXL500MT_err, XXL_365_GC.f60, XXL_3
#           65_GC.f60_err, XXL_365_GC.flag, XXL_365_GC.tab, XXL_365_GC.
#           T300kpcscal , XXL_365_GC.T300kpcscal_err, XXL_365_GC.r500sc
#           al, XXL_365_GC.r500scal_err, XXL_365_GC.M500scal, XXL_365_G
#           C.M500scal_err, XXL_365_GC.Lbol500scal, XXL_365_GC.Lbol500s
#           cal_err FROM XXL_365_GC
# identifier	xlssc	ra	decl	z	ngal	class	Mgas500kpc	Mgas500kpc_m	Mgas500kpc_p	r500mt	T300kpc	T300kpc_m	T300kpc_p	LXXL500MT	LXXL500MT_err	f60	f60_err	flag	tab	T300kpcscal	T300kpcscal_err	r500scal	r500scal_err	M500scal	M500scal_err	Lbol500scal	Lbol500scal_err
# VARCHAR	INTEGER	DOUBLE	DOUBLE	FLOAT	INTEGER	INTEGER	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	DOUBLE	DOUBLE	FLOAT	FLOAT	CHAR	CHAR	FLOAT	FLOAT	FLOAT	FLOAT	DOUBLE	DOUBLE	DOUBLE	DOUBLE
# --	--	deg	deg		--	--	1E11 solar mass	1E11 solar mass	1E11 solar mass	kpc	keV	keV	keV	1E42 erg/s	1E42 erg/s	1E-15 erg/cm2/s	1E-15 erg/cm2/s	--	--	keV	keV	kpc	kpc	1E13 solar mass	1E13 solar mass	1E42 erg/s	1E42 erg/s
XLSSC 157	157	30.865	-6.929	0.585	5	1	 69.87	 -6.48	  6.04	721	3.24	-0.74	0.64	 42.22	  6.91	19	3	l	5	3.24	0.39	722.	 79.	 19.60	  6.41	130.00	 16.70
XLSSC 197	197	30.923	-7.785	0.439	2	1	106.90	 -4.88	  4.67	755	3.03	-0.37	0.42	 76.04	  8.13	97	7	l	5	4.34	0.42	924.	101.	 34.70	 11.30	240.00	 22.80
XLSSC 096	096	30.973	-5.027	0.520	6	1	 89.00	 -4.74	  4.59	951	4.98	-0.86	0.50	 62.58	  7.80	36	4	+,*,l	5	3.43	0.37	773.	 82.	 22.30	  7.12	140.00	 15.40
XLSSC 155	155	31.134	-6.748	0.433	2	1	 35.94	 -4.06	  3.97	576	1.85	-0.24	0.29	 16.20	  2.15	23	3	l	5	2.51	0.24	682.	 66.	 13.80	  4.01	 56.00	  5.96
XLSSC 173	173	31.251	-5.931	0.413	3	1	 46.89	 -4.00	  3.73	930	4.29	-0.22	0.26	 16.87	  1.07	24	3	l	5	2.26	0.24	649.	 64.	 11.70	  3.43	 42.00	  6.81
XLSSC 177	177	31.290	-4.918	0.211	7	2	 36.78	 -2.68	  2.31	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	22	4	l	5	1.65	0.15	607.	 54.	  7.68	  2.07	 16.00	  2.41
XLSSC 102	102	31.322	-4.652	0.969	3	1	138.48	 -6.40	  6.60	638	3.87	-0.76	0.81	166.36	 24.34	42	4	+,l	5	4.42	0.78	688.	 94.	 26.40	 10.90	390.00	 44.90
XLSSC 106	106	31.351	-5.732	0.300	14	1	 82.70	 -2.34	  2.32	777	2.78	-0.17	0.20	 42.67	  2.29	91	4	+,l	5	3.61	0.27	899.	 88.	 27.50	  8.11	130.00	  6.56
XLSSC 107	107	31.354	-7.594	0.436	3	1	 66.76	 -4.27	  3.88	672	2.45	-0.34	0.37	 49.01	  5.04	56	5	+,l	5	3.62	0.34	836.	 87.	 25.60	  7.96	150.00	 13.00
XLSSC 160	160	31.521	-5.194	0.817	4	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	6	4		5	1.93	0.42	471.	 67.	  7.10	  3.05	 39.00	 16.40
XLSSC 100	100	31.549	-6.193	0.915	6	1	133.76	 -4.46	  4.47	808	5.60	-0.43	0.51	139.92	 12.35	36	6	+,l	5	4.25	0.80	694.	 98.	 25.50	 10.80	340.00	 85.80
XLSSC 172	172	31.571	-5.893	0.426	2	2	 26.91	-11.62	  7.48	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	12	3		5	1.91	0.22	587.	 58.	  8.77	  2.61	 27.00	  5.28
XLSSC 175	175	31.649	-7.568	0.293	2	2	 -1.00	 -1.00	 -1.00	994	1.82	-0.12	0.11	  6.62	  0.41	11	4		5	1.37	0.21	523.	 59.	  5.37	  1.80	 10.00	  3.47
XLSSC 093	093	31.699	-6.948	0.429	6	1	100.75	 -2.81	  2.66	795	3.29	-0.48	0.49	 63.19	  6.59	72	5	+,l	5	3.88	0.36	873.	 91.	 28.90	  9.07	180.00	 12.90
XLSSC 108	108	31.832	-4.827	0.254	4	1	 42.96	 -2.10	  2.09	723	2.34	-0.24	0.31	 20.64	  1.93	62	4	+,l	5	2.72	0.20	786.	 72.	 17.50	  4.79	 61.00	  3.89
XLSSC 095	095	31.962	-5.206	0.138	12	1	  7.09	 -3.57	  2.10	452	0.90	-0.08	0.09	  1.89	  0.25	31	4	+,l	5	1.23	0.12	532.	 48.	  4.82	  1.29	  6.70	  1.07
XLSSC 171	171	31.986	-5.871	0.044	5	1	  1.01	 -0.74	  0.80	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	19	4	l,F	5	0.71	0.09	409.	 42.	  2.01	  0.61	  1.50	  0.33
XLSSC 092	092	32.071	-7.276	0.432	3	1	 63.77	 -3.96	  3.65	664	2.39	-0.35	0.34	 25.36	  3.46	31	4	+,l	5	2.87	0.28	735.	 73.	 17.40	  5.19	 80.00	  9.55
XLSSC 101	101	32.193	-4.436	0.756	9	1	135.44	 -4.93	  4.91	620	2.95	-0.38	0.47	138.93	 15.71	55	4	+,l	5	4.75	0.67	811.	102.	 33.70	 12.70	400.00	 35.70
XLSSC 159	159	32.268	-5.305	0.614	3	2	 -1.00	 -1.00	 -1.00	1037	2.44	-0.48	0.67	 25.73	  5.46	8	4		5	2.17	0.35	566.	 67.	  9.77	  3.46	 45.00	 13.10
XLSSC 109	109	32.296	-6.346	0.491	2	1	 59.72	 -6.23	  6.03	650	2.44	-0.18	0.14	 69.18	  4.58	51	7	+,l	5	4.12	0.44	871.	 96.	 30.90	 10.20	220.00	 27.40
XLSSC 163	163	32.463	-6.117	0.283	4	1	  5.37	 -2.33	  3.69	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	11	3		5	1.37	0.15	526.	 50.	  5.40	  1.54	 10.00	  2.03
XLSSC 167	167	32.479	-4.630	0.298	5	1	 34.90	 -3.52	  3.36	618	1.84	-0.23	0.25	  7.85	  1.17	26	4	l	5	2.13	0.19	669.	 62.	 11.30	  3.12	 33.00	  4.46
XLSSC 176	176	32.490	-4.980	0.141	10	1	 20.37	 -1.61	  1.39	580	1.42	-0.15	0.18	  3.39	  0.46	22	4	l	5	1.35	0.13	560.	 49.	  5.63	  1.49	  8.60	  1.32
XLSSC 112	112	32.514	-5.462	0.139	14	1	 19.09	 -1.08	  1.07	483	1.02	-0.05	0.06	  2.92	  0.17	59	7	+,l	5	1.66	0.15	630.	 55.	  8.02	  2.11	 15.00	  2.12
XLSSC 162	162	32.524	-6.093	0.138	2	2	  0.68	 -0.34	  0.66	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	8	2	F	5	1.05	0.11	486.	 45.	  3.68	  1.02	  4.40	  0.78
XLSSC 116	116	32.664	-5.945	0.534	31	2	 45.79	-10.22	  7.19	1771	6.03	-0.49	0.29	 50.28	  3.69	15	3	l	5	2.54	0.33	648.	 70.	 13.30	  4.32	 63.00	 13.10
XLSSC 115	115	32.681	-6.588	0.043	22	1	 56.06	 -0.68	  0.68	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	122	14	l	5	1.64	0.14	654.	 57.	  8.18	  2.14	 14.00	  1.92
XLSSC 082	082	32.714	-6.173	0.427	5	1	 45.71	 -5.68	  4.46	836	3.58	-0.50	0.61	 22.44	  2.95	25	4	l	5	2.39	0.25	665.	 65.	 12.80	  3.75	 49.00	  7.17
XLSSC 083	083	32.735	-6.200	0.430	5	1	 76.24	 -4.22	  3.34	1019	5.14	-0.81	1.17	 48.18	  5.41	47	4	+,l	5	3.21	0.30	783.	 79.	 20.90	  6.32	110.00	  9.86
XLSSC 084	084	32.767	-6.211	0.430	6	1	 56.13	 -5.68	  5.92	667	2.40	-0.35	0.43	 17.69	  2.71	33	4	+,l	5	2.63	0.26	701.	 69.	 15.00	  4.41	 63.00	  7.85
XLSSC 201	201	32.767	-4.893	0.138	20	1	 14.45	 -1.67	  1.63	621	1.60	-0.16	0.24	 10.03	  1.14	100	8	l	5	2.13	0.16	725.	 63.	 12.20	  3.19	 29.00	  2.90
XLSSC 158	158	32.793	-4.349	0.442	2	2	 46.92	 -5.77	  5.40	910	1.72	-0.26	0.31	 20.61	  3.42	24	6	l	5	2.35	0.36	653.	 76.	 12.30	  4.29	 47.00	 15.60
XLSSC 086	086	32.809	-6.162	0.424	3	1	 30.63	 -5.70	  5.32	730	2.81	-0.49	0.56	 12.49	  1.83	16	3	l	5	2.08	0.23	616.	 60.	 10.10	  2.97	 34.00	  5.80
XLSSC 085	085	32.870	-6.196	0.428	2	1	 49.39	 -6.86	  5.99	898	4.09	-0.69	0.76	 44.09	  4.58	41	4	+,l	5	3.29	0.31	795.	 80.	 21.90	  6.63	110.00	 10.50
XLSSC 111	111	33.111	-5.627	0.300	12	1	 86.84	 -2.66	  2.58	911	3.70	-0.50	0.52	 61.91	  4.86	140	6	+,l	5	4.10	0.32	967.	 99.	 34.10	 10.40	190.00	  9.21
XLSSC 098	098	33.115	-6.076	0.297	5	1	 43.32	 -5.03	  4.80	806	2.96	-0.59	0.57	 15.16	  2.19	35	5	+,l	5	2.37	0.21	711.	 66.	 13.60	  3.79	 44.00	  5.78
XLSSC 117	117	33.121	-5.528	0.298	7	1	 33.85	 -3.07	  2.82	873	3.42	-0.57	0.47	 12.09	  1.68	25	3	l	5	1.97	0.17	639.	 57.	  9.85	  2.65	 26.00	  3.03
XLSSC 166	166	33.211	-4.600	0.158	10	1	 12.25	 -2.91	  2.52	595	1.54	-0.17	0.14	  3.36	  0.45	24	3	l	5	1.30	0.12	543.	 48.	  5.23	  1.38	  7.90	  1.09
XLSSC 099	099	33.220	-6.202	0.391	1	1	 47.37	 -5.91	  5.30	870	3.72	-0.54	0.87	 23.41	  3.55	32	4	+,l	5	2.50	0.26	695.	 69.	 14.00	  4.19	 54.00	  9.36
XLSSC 097	097	33.342	-6.098	0.697	3	1	 93.88	 -7.37	  6.94	864	5.04	-0.95	1.14	114.51	 18.17	42	5	+,l	5	3.95	0.55	756.	 91.	 25.60	  9.21	230.00	 35.40
XLSSC 165	165	33.356	-4.516	0.180	7	2	 -1.00	 -1.00	 -1.00	730	0.97	-0.15	0.13	  1.18	  0.17	5	2		5	0.87	0.14	428.	 49.	  2.62	  0.89	  2.80	  0.94
XLSSC 198	198	33.496	-5.186	0.356	2	1	 30.21	 -3.73	  3.00	498	1.32	-0.09	0.14	  6.51	  0.78	13	2	l	5	1.83	0.17	596.	 53.	  8.49	  2.29	 23.00	  2.18
XLSSC 110	110	33.537	-5.585	0.445	6	1	 59.76	 -3.51	  3.18	553	1.74	-0.22	0.28	 17.43	  2.31	32	3	+,*,l	5	2.51	0.26	677.	 67.	 13.70	  4.05	 57.00	  7.30
XLSSC 060	060	33.668	-4.553	0.139	26	1	110.94	 -0.57	  0.56	1130	4.70	-0.26	0.26	 63.15	  1.67	230	5	+,l	5	4.03	0.26	1040.	102.	 36.00	 10.60	160.00	  2.35
XLSSC 076	076	33.682	-3.823	0.750	6	1	 81.80	 -4.06	  3.73	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	20	3	l	5	2.64	0.43	583.	 71.	 12.50	  4.59	 83.00	 20.50
XLSSC 073	073	33.744	-3.506	1.033	4	2	 -1.00	 -1.00	 -1.00	728	1.72	-0.33	0.41	 56.43	 10.25	7	3		5	2.43	0.53	474.	 69.	  9.28	  4.06	 85.00	 27.60
XLSSC 138	138	33.750	-3.905	0.140	9	2	  8.37	 -2.70	  3.49	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	18	5	l	5	1.47	0.15	588.	 54.	  6.52	  1.79	 11.00	  2.06
XLSSC 188	188	33.812	-4.223	0.570	1	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	5	5		5	0.51	0.64	257.	183.	  0.87	  1.86	  0.93	  3.09
XLSSC 072	072	33.850	-3.726	1.002	5	1	131.07	 -5.99	  4.43	434	2.00	-0.31	0.27	138.93	 18.67	41	4	+,l	5	4.41	0.80	674.	 94.	 25.80	 10.80	400.00	 51.00
XLSSC 180	180	33.863	-5.556	0.289	11	1	 44.89	 -2.27	  2.12	775	2.74	-0.19	0.19	 12.38	  0.79	19	3	l	5	1.88	0.19	626.	 58.	  9.15	  2.56	 23.00	  3.99
XLSSC 135	135	33.868	-4.049	0.371	2	2	 27.87	-21.23	  8.95	801	1.30	-0.20	0.26	 10.31	  1.95	13	3	l	5	2.06	0.22	630.	 61.	 10.20	  2.98	 32.00	  5.78
XLSSC 056	056	33.871	-4.682	0.348	6	1	 72.99	 -2.32	  2.36	788	2.99	-0.39	0.50	 42.99	  3.84	76	4	+,l	5	3.46	0.28	856.	 85.	 25.00	  7.41	120.00	  7.93
XLSSC 161	161	33.915	-5.980	0.306	3	1	 42.89	 -3.08	  2.44	715	2.41	-0.34	0.41	 12.44	  1.75	27	4	l	5	2.12	0.19	664.	 61.	 11.10	  3.06	 32.00	  4.19
XLSSC 078	078	33.948	-4.842	0.953	3	2	 45.89	-12.26	 10.93	949	2.63	-0.45	0.41	 74.85	 12.49	10	2		5	3.02	0.53	561.	 73.	 14.00	  5.49	140.00	 22.10
XLSSC 057	057	34.051	-4.242	0.153	18	1	 46.80	 -1.00	  0.99	707	2.05	-0.18	0.26	 11.37	  0.93	80	5	+,l	5	2.33	0.15	758.	 66.	 14.20	  3.68	 37.00	  1.95
XLSSC 187	187	34.136	-4.509	0.447	2	2	 30.76	 -3.77	  4.45	1295	3.24	-0.59	0.60	 28.80	  4.11	17	3	l	5	2.51	0.26	676.	 67.	 13.70	  4.09	 57.00	  8.21
XLSSC 144	144	34.152	-4.450	0.447	5	2	 46.19	 -6.20	  5.00	910	1.72	-0.23	0.28	 11.01	  1.70	15	4	l	5	1.75	0.24	551.	 59.	  7.42	  2.40	 22.00	  5.96
XLSSC 202	202	34.160	-4.617	0.292	3	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	3	1		5	0.97	0.14	432.	 45.	  3.02	  0.95	  4.10	  1.11
XLSSC 194	194	34.200	-4.555	0.411	2	2	 27.25	 -5.01	  2.94	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	13	2	l	5	1.85	0.20	581.	 56.	  8.35	  2.41	 25.00	  4.03
XLSSC 065	065	34.245	-4.819	0.435	3	2	 27.70	 -3.89	  3.65	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	11	3	+	5	2.10	0.23	615.	 60.	 10.20	  2.99	 35.00	  5.74
XLSSC 195	195	34.266	-4.478	0.661	5	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	1	2		5	1.36	0.28	423.	 57.	  4.29	  1.74	 13.00	  5.63
XLSSC 139	139	34.267	-3.536	0.216	5	2	  8.18	 -3.04	  2.72	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	12	3		5	1.30	0.14	529.	 49.	  5.13	  1.44	  8.40	  1.65
XLSSC 141	141	34.357	-4.659	0.196	3	2	  1.07	 -0.32	  0.59	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	4	1		5	0.69	0.11	373.	 43.	  1.76	  0.60	  1.50	  0.48
XLSSC 059	059	34.397	-5.223	0.645	7	1	 60.50	 -2.67	  2.85	657	2.92	-0.37	0.49	 21.56	  2.30	12	2		5	2.40	0.30	589.	 62.	 11.40	  3.60	 60.00	  5.89
XLSSC 137	137	34.416	-3.807	0.290	2	2	 41.00	 -2.38	  2.10	945	1.66	-0.15	0.22	 13.22	  1.42	26	3	l	5	2.15	0.18	675.	 60.	 11.50	  3.08	 33.00	  3.02
XLSSC 124	124	34.425	-4.863	0.516	5	1	 19.95	 -3.45	  3.51	594	2.13	-0.38	0.41	  5.56	  0.99	5	1		5	1.63	0.19	510.	 50.	  6.35	  1.87	 19.00	  2.76
XLSSC 203	203	34.428	-4.989	1.077	1	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	2	1		5	1.64	0.34	371.	 51.	  4.67	  1.94	 31.00	  7.29
XLSSC 122	122	34.433	-3.759	1.990	0	1	143.18	-17.09	 15.93	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	13	3	*,l	5	4.80	1.59	425.	 89.	 17.90	 11.30	1100.00	169.00
XLSSC 079	079	34.494	-4.868	0.194	5	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	4	2	*	5	0.74	0.12	388.	 45.	  1.98	  0.69	  1.80	  0.63
XLSSC 192	192	34.509	-5.029	0.341	2	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	3	2		5	0.82	0.16	381.	 50.	  2.18	  0.85	  2.70	  1.16
XLSSC 077	077	34.527	-3.656	0.202	4	2	 32.53	 -3.99	  3.56	931	1.53	-0.21	0.28	  7.66	  1.11	23	4	l	5	1.58	0.16	595.	 54.	  7.17	  1.96	 14.00	  2.42
XLSSC 080	080	34.597	-5.413	0.646	7	2	 42.62	 -5.30	  4.52	824	1.65	-0.25	0.32	 11.18	  1.73	6	2		5	1.85	0.26	508.	 55.	  7.33	  2.38	 30.00	  5.64
XLSSC 064	064	34.632	-5.017	0.874	3	1	103.72	 -2.40	  2.48	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	13	2	+,l	5	3.14	0.49	599.	 74.	 15.70	  5.77	150.00	 12.50
XLSSC 067	067	34.681	-5.549	0.382	5	1	 34.11	 -2.89	  2.62	470	1.22	-0.17	0.13	  6.92	  0.94	14	2	+,l	5	1.87	0.19	595.	 56.	  8.68	  2.43	 25.00	  3.48
XLSSC 142	142	34.729	-5.469	0.451	5	2	 16.69	 -4.54	  4.29	1016	2.10	-0.37	0.54	  6.65	  1.12	7	2		5	1.69	0.19	539.	 52.	  6.98	  2.01	 20.00	  2.95
XLSSC 193	193	34.876	-5.058	0.203	3	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	3	2		5	0.73	0.11	384.	 42.	  1.93	  0.64	  1.80	  0.51
XLSSC 189	189	34.908	-4.007	0.204	6	1	 20.11	 -2.23	  2.02	531	1.28	-0.14	0.18	  2.73	  0.38	18	3	l	5	1.54	0.15	585.	 52.	  6.82	  1.83	 13.00	  2.03
XLSSC 058	058	34.935	-4.889	0.332	10	1	 30.04	 -1.60	  1.50	669	2.19	-0.26	0.27	  6.50	  0.70	11	2	+	5	1.66	0.15	571.	 51.	  7.29	  1.94	 17.00	  1.65
XLSSC 183	183	35.065	-4.917	0.511	3	2	 22.79	 -6.45	  4.30	1503	4.42	-0.69	0.89	 13.10	  2.64	9	3		5	1.96	0.29	567.	 63.	  8.71	  2.90	 31.00	  8.66
XLSSC 039	039	35.099	-2.841	0.231	6	1	 15.16	 -2.62	  2.48	592	1.60	-0.22	0.28	  5.61	  0.83	17	2	+,l	5	1.51	0.14	571.	 51.	  6.53	  1.74	 12.00	  1.77
XLSSC 130	130	35.176	-5.430	0.546	5	2	 -1.00	 -1.00	 -1.00	822	1.53	-0.30	0.25	 10.18	  2.01	6	4		5	1.60	0.26	496.	 58.	  6.06	  2.14	 19.00	  6.17
XLSSC 023	023	35.188	-3.433	0.328	4	1	 36.17	 -3.43	  3.16	646	2.05	-0.14	0.13	 17.38	  1.12	34	3	+,l	5	2.47	0.21	716.	 66.	 14.30	  3.97	 50.00	  4.92
XLSSC 184	184	35.311	-4.204	0.811	3	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	3	2		5	1.88	0.39	466.	 65.	  6.85	  2.86	 36.00	 14.30
XLSSC 006	006	35.439	-3.772	0.429	16	1	140.57	 -0.74	  0.76	916	4.24	-0.45	0.61	185.38	 15.03	185	8	+,l	5	6.34	0.62	1151.	137.	 66.30	 23.70	650.00	 29.50
XLSSC 061	061	35.485	-5.758	0.259	10	1	 52.82	 -2.72	  2.46	648	1.93	-0.22	0.29	 13.30	  1.61	37	4	+,l	5	2.19	0.18	694.	 63.	 12.10	  3.27	 34.00	  3.97
XLSSC 040	040	35.523	-4.547	0.320	16	1	 34.18	 -1.53	  1.42	631	1.95	-0.24	0.26	  6.39	  0.84	14	2	+,l	5	1.73	0.17	588.	 53.	  7.84	  2.14	 19.00	  2.65
XLSSC 036	036	35.527	-3.054	0.492	3	1	108.97	 -2.58	  2.72	798	3.53	-0.43	0.53	100.72	  9.64	94	5	+,l	5	4.62	0.47	929.	104.	 37.40	 12.60	300.00	 22.10
XLSSC 047	047	35.544	-2.681	0.789	16	2	 69.08	 -8.77	  7.07	1061	2.87	-0.56	0.77	 46.99	  7.33	12	3	+	5	2.60	0.43	567.	 69.	 12.00	  4.41	 84.00	 18.70
XLSSC 071	071	35.640	-4.967	0.833	5	2	 57.55	 -5.57	  5.54	895	2.18	-0.15	0.13	 58.04	  3.90	12	3	+	5	2.82	0.50	578.	 75.	 13.40	  5.21	110.00	 28.30
XLSSC 048	048	35.722	-3.473	1.005	4	2	 80.80	-10.82	  8.91	947	2.72	-0.16	0.18	 68.46	  4.79	11	3	+	5	3.04	0.59	546.	 76.	 13.70	  5.71	150.00	 34.50
XLSSC 030	030	35.778	-4.216	0.631	16	2	 24.44	 -4.78	  4.63	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	6	2	+	5	1.75	0.25	496.	 53.	  6.70	  2.16	 25.00	  4.95
XLSSC 075	075	35.834	-5.454	0.211	10	1	 14.59	 -2.37	  1.93	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	13	2	l	5	1.58	0.13	591.	 51.	  7.12	  1.83	 14.00	  1.35
XLSSC 035	035	35.949	-2.858	0.174	5	1	 26.18	 -2.65	  1.91	534	1.26	-0.08	0.08	  3.79	  0.25	22	3	+,*,l	5	1.48	0.13	582.	 50.	  6.52	  1.70	 11.00	  1.45
