"","Age","Marital_Status","Dependents","Education_Level","Employment_Type","Years_Employed","Housing_Status","Annual_Income","Credit_History_Length","Debt_to_Income_Ratio","Loan_Amount","Loan_Term","Interest_Rate","Purpose","Credit_Score","Credit_Utilization","Num_Past_Due_Payments","Num_Credit_Cards","Has_Mortgage","Savings_Account_Balance","Checking_Account_Balance","Past_Default","Co_Signer","Loan_Default"
"13",24,"Divorced",2,"HighSchool","Unemployed",1,"Mortgage",24256,3,0.382,17256,36,14.09,"Medical",654,0.259,2,5,"No",203,1342,"No","No","No"
"14",35,"Separated",1,"HighSchool","Self_Employed",14,"Mortgage",44894,17,0.44,17489,36,9.22,"Auto",735,0.476,0,4,"No",128,786,"No","No","No"
"15",37,"Divorced",0,"Bachelor","Salaried",13,"Mortgage",104733,17,0.592,20042,48,10.58,"Personal",786,0.291,0,9,"Yes",3665,76091,"No","No","No"
"16",44,"Married",1,"Bachelor","Salaried",24,"Own",224006,26,0.476,47223,24,8.52,"Debt_Consolidation",850,0.561,0,5,"Yes",143165,18558,"No","No","No"
"17",35,"Married",3,"HighSchool","Salaried",13,"Mortgage",63802,15,0.372,13518,12,10.7,"Medical",756,0.284,0,1,"No",7230,8423,"No","No","No"
"18",21,"Married",2,"Other","Unemployed",2,"Mortgage",22413,3,0.356,10569,24,13.54,"Personal",621,0.476,2,0,"No",237,3868,"No","No","No"
"19",21,"Single",0,"Master","Self_Employed",3,"Own",99527,3,0.652,54392,18,13.32,"Business",713,0.064,0,9,"No",13301,2646,"No","No","No"
"20",51,"Single",0,"Master","Self_Employed",32,"Mortgage",161753,33,0.832,121247,48,14.53,"Business",746,0.865,0,5,"Yes",8915,13173,"No","No","Yes"
"21",35,"Married",3,"Bachelor","Salaried",16,"Mortgage",117402,17,0.517,41624,48,9.91,"Home_Improvement",820,0.474,0,15,"Yes",13177,14023,"No","No","No"
"22",21,"Divorced",2,"HighSchool","Salaried",0,"Mortgage",80074,3,0.55,27780,60,11.72,"Debt_Consolidation",765,0.45,0,5,"Yes",11764,4008,"No","No","Yes"
"23",36,"Married",4,"HighSchool","Salaried",17,"Mortgage",57566,18,0.311,9596,48,11.22,"Medical",850,0.346,1,4,"No",2035,8052,"No","No","No"
"24",50,"Married",3,"Master","Salaried",28,"Mortgage",150280,32,0.515,33288,24,9.51,"Home_Improvement",850,0.073,0,5,"Yes",1154,8001,"No","No","No"
"25",57,"Separated",0,"HighSchool","Salaried",35,"Mortgage",144712,38,0.594,15559,24,9.01,"Home_Improvement",817,0.38,0,6,"Yes",7840,2395,"No","Yes","No"
"26",34,"Single",1,"HighSchool","Unemployed",1,"Mortgage",21898,5,0.173,4470,36,10.89,"Debt_Consolidation",706,0.345,2,2,"No",1111,2300,"No","No","No"
"27",35,"Married",1,"HighSchool","Salaried",15,"Own",109633,17,0.425,42974,48,10.25,"Auto",740,0.522,1,4,"Yes",12979,15661,"No","No","No"
"28",21,"Single",0,"Bachelor","Self_Employed",3,"Mortgage",67209,3,0.381,17802,12,11.91,"Credit_Card",795,0.285,0,3,"No",4406,649,"No","No","No"
"29",43,"Married",2,"Bachelor","Self_Employed",23,"Mortgage",107161,25,0.734,94348,48,11.06,"Auto",823,0.487,0,6,"Yes",10064,19643,"No","Yes","No"
"30",32,"Divorced",0,"Bachelor","Salaried",13,"Mortgage",147237,14,0.74,22595,18,8.27,"Debt_Consolidation",850,0.476,0,4,"Yes",15706,26558,"No","No","No"
"31",43,"Single",1,"Bachelor","Salaried",22,"Mortgage",143302,25,0.588,35426,36,8.11,"Debt_Consolidation",850,0.54,0,4,"Yes",6233,11239,"No","No","No"
"32",45,"Single",0,"HighSchool","Salaried",24,"Mortgage",151675,27,0.563,24148,48,12.51,"Credit_Card",850,0.679,0,3,"Yes",8665,7093,"No","No","No"
"33",48,"Divorced",0,"Bachelor","Salaried",29,"Mortgage",192240,30,0.89,150000,24,13,"Business",850,0.555,0,10,"Yes",58713,81148,"No","No","No"
"34",32,"Married",2,"Bachelor","Salaried",13,"Mortgage",132422,14,0.445,23829,12,10.09,"Credit_Card",755,0.234,1,9,"Yes",58224,6056,"No","Yes","No"
"35",43,"Married",2,"Master","Salaried",24,"Mortgage",171568,25,0.516,35508,24,9.77,"Credit_Card",810,0.272,1,6,"Yes",92077,28755,"No","No","No"
"36",21,"Married",1,"HighSchool","Unemployed",0,"Rent",21341,3,0.527,3421,36,11.79,"Vacation",739,0.383,2,2,"No",320,930,"No","No","No"
"37",30,"Married",3,"HighSchool","Salaried",10,"Rent",41014,12,0.257,13528,24,10.57,"Medical",744,0.285,0,1,"No",10748,3305,"No","No","No"
"38",29,"Single",2,"Other","Salaried",8,"Mortgage",126755,11,0.264,46002,24,12.73,"Business",824,0.671,0,5,"No",12168,24143,"No","Yes","No"
"39",21,"Single",1,"HighSchool","Unemployed",2,"Rent",23649,3,0.227,14186,60,13.41,"Auto",641,0.523,2,1,"No",1359,1381,"No","No","No"
"40",38,"Married",2,"Bachelor","Unemployed",2,"Mortgage",87759,8,0.885,46194,18,9.79,"Debt_Consolidation",735,0.415,0,5,"Yes",1617,6282,"No","Yes","No"
"41",40,"Separated",2,"Master","Salaried",22,"Mortgage",114177,22,0.547,66674,48,10.63,"Education",805,0.463,0,5,"No",5451,5427,"No","No","No"
"42",34,"Married",0,"HighSchool","Unemployed",0,"Rent",23608,4,0.217,6983,48,14.26,"Credit_Card",650,0.871,1,0,"No",321,4665,"No","Yes","Yes"
"43",46,"Married",1,"HighSchool","Salaried",27,"Own",124670,28,0.298,39987,48,13.34,"Business",850,0.319,0,10,"Yes",23711,7290,"No","No","No"
"44",31,"Married",3,"Master","Salaried",13,"Own",114224,13,0.793,122883,36,11.63,"Education",849,0.182,0,5,"Yes",13884,7106,"No","No","No"
"45",24,"Divorced",2,"HighSchool","Salaried",5,"Rent",53600,6,0.438,30065,36,11.1,"Auto",670,0.556,1,6,"No",1677,4325,"No","Yes","No"
"46",42,"Single",2,"Bachelor","Salaried",24,"Own",143147,24,0.595,92995,36,11.49,"Debt_Consolidation",841,0.176,0,4,"Yes",2639,15856,"No","No","No"
"47",30,"Married",2,"HighSchool","Salaried",9,"Own",104654,12,0.253,39911,60,14.1,"Home_Improvement",772,0.389,0,2,"No",14950,3360,"No","No","No"
"48",52,"Single",0,"PhD","Salaried",33,"Own",297681,34,0.734,150000,36,10.96,"Debt_Consolidation",788,0.418,0,15,"Yes",43211,26531,"No","No","No"
"49",34,"Married",1,"Master","Salaried",15,"Mortgage",164912,16,0.482,59586,48,8.24,"Auto",850,0.097,0,4,"Yes",11842,9888,"No","No","No"
"50",45,"Single",1,"Bachelor","Salaried",26,"Mortgage",94466,27,0.258,32756,36,9.77,"Debt_Consolidation",813,0.389,0,6,"No",23504,10616,"No","Yes","No"
"51",41,"Married",5,"HighSchool","Salaried",16,"Mortgage",62300,22,0.852,23588,60,11.9,"Debt_Consolidation",826,0.834,1,1,"Yes",6545,10191,"No","No","Yes"
"52",30,"Married",2,"Bachelor","Unemployed",1,"Mortgage",17720,7,0.408,8218,18,8.93,"Education",765,0.583,3,3,"No",98,3890,"No","No","No"
"53",54,"Married",0,"Bachelor","Salaried",33,"Mortgage",132414,36,0.248,43560,36,11.44,"Debt_Consolidation",729,0.551,0,10,"No",21860,8304,"No","No","No"
"54",44,"Single",0,"Bachelor","Salaried",23,"Own",88458,25,0.656,27956,36,10.14,"Credit_Card",772,0.405,0,3,"Yes",14580,7377,"No","No","No"
"55",39,"Single",1,"Master","Salaried",21,"Mortgage",181477,21,0.624,43530,18,10.84,"Medical",847,0.525,0,4,"Yes",6411,6007,"No","No","No"
"56",41,"Single",0,"Bachelor","Salaried",22,"Own",115545,23,0.351,31963,60,11.59,"Home_Improvement",840,0.289,0,8,"Yes",7679,3655,"No","Yes","No"
"57",45,"Married",2,"Master","Salaried",25,"Mortgage",233031,27,0.628,81361,48,11.19,"Auto",828,0.353,0,14,"Yes",14433,16479,"No","No","No"
"58",39,"Separated",1,"Bachelor","Student",1,"Mortgage",18565,9,0.95,29586,72,18.04,"Business",733,0.856,0,3,"Yes",437,1010,"No","Yes","Yes"
"59",21,"Divorced",1,"Master","Salaried",1,"Own",137269,3,0.2,18442,48,11.35,"Home_Improvement",736,0.053,0,12,"No",14008,20038,"No","Yes","No"
"60",41,"Married",1,"Bachelor","Salaried",23,"Own",207107,23,0.638,57727,12,7.63,"Home_Improvement",850,0.29,0,14,"Yes",34715,26533,"No","No","No"
"61",34,"Single",0,"Bachelor","Salaried",12,"Own",136056,16,0.492,44615,48,10.73,"Medical",850,0.468,1,7,"Yes",15039,7314,"No","No","No"
"62",40,"Married",2,"Bachelor","Salaried",17,"Mortgage",102779,21,0.582,26572,60,10.16,"Auto",850,0.199,1,7,"Yes",5511,11836,"No","No","No"
"63",44,"Single",0,"HighSchool","Salaried",24,"Mortgage",110043,26,0.888,87846,24,9.88,"Home_Improvement",840,0.463,0,7,"Yes",6425,7290,"No","Yes","No"
"64",52,"Single",0,"PhD","Salaried",33,"Mortgage",202527,34,0.436,33070,60,12.42,"Medical",850,0.243,0,9,"Yes",65166,16894,"No","Yes","No"
"65",31,"Married",5,"HighSchool","Salaried",9,"Own",160002,13,0.344,26955,60,13.45,"Medical",738,0.237,0,9,"Yes",96196,7627,"No","No","No"
"66",51,"Married",2,"HighSchool","Salaried",30,"Own",205673,33,0.695,77701,24,10.05,"Debt_Consolidation",827,0.672,0,8,"Yes",14081,8963,"No","Yes","No"
"67",41,"Married",2,"Bachelor","Salaried",23,"Own",80478,23,0.517,56815,60,10.96,"Auto",811,0.374,1,7,"Yes",9364,1857,"No","No","No"
"68",48,"Separated",0,"Other","Salaried",26,"Mortgage",73311,30,0.194,15928,36,10.17,"Debt_Consolidation",813,0.187,0,2,"No",8151,13137,"No","No","No"
"69",47,"Married",1,"Bachelor","Self_Employed",28,"Mortgage",201509,29,0.737,88526,36,10.24,"Auto",835,0.439,0,10,"Yes",310006,10572,"No","Yes","No"
"70",45,"Divorced",1,"Bachelor","Unemployed",2,"Mortgage",39054,8,0.439,6916,48,12.06,"Home_Improvement",711,0.517,1,4,"No",1714,3940,"No","No","No"
"71",28,"Single",0,"HighSchool","Salaried",8,"Own",62300,10,0.496,21310,12,10.58,"Credit_Card",831,0.267,0,2,"No",2381,5454,"No","No","No"
"72",37,"Single",1,"Bachelor","Salaried",19,"Mortgage",121736,19,0.45,95874,48,13.15,"Medical",696,0.328,1,6,"No",23181,11476,"No","No","No"
"73",44,"Single",0,"Bachelor","Salaried",22,"Own",133103,26,0.482,39957,48,10.85,"Medical",787,0.759,0,5,"Yes",5435,16257,"No","No","No"
"74",28,"Married",3,"Bachelor","Unemployed",1,"Own",51141,3,0.428,8528,60,13.39,"Debt_Consolidation",691,0.372,1,3,"Yes",452,547,"No","Yes","Yes"
"75",33,"Divorced",1,"Bachelor","Self_Employed",10,"Mortgage",73492,15,0.62,22832,48,10.99,"Personal",779,0.618,0,8,"Yes",18510,3148,"No","No","No"
"76",44,"Single",0,"PhD","Salaried",21,"Own",236873,26,0.837,95728,24,11.01,"Home_Improvement",814,0.25,0,15,"Yes",7714,28004,"No","No","No"
"77",46,"Single",0,"HighSchool","Self_Employed",28,"Mortgage",134758,28,0.713,88012,36,13.85,"Business",739,0.414,0,8,"Yes",1258,3833,"No","Yes","No"
"78",43,"Single",0,"Bachelor","Salaried",20,"Own",119424,24,0.572,37882,36,9.92,"Home_Improvement",778,0.551,0,5,"Yes",39137,13962,"No","No","Yes"
"79",29,"Single",2,"Master","Salaried",10,"Mortgage",148507,11,0.375,89527,60,10.98,"Education",841,0.033,0,9,"Yes",15484,2554,"No","No","No"
"80",27,"Single",0,"Master","Salaried",7,"Rent",54461,9,0.116,6255,60,12.52,"Debt_Consolidation",681,0.844,0,4,"No",2007,6684,"No","No","Yes"
"81",53,"Single",0,"PhD","Self_Employed",34,"Mortgage",165486,35,0.833,125019,18,12.39,"Business",767,0.877,0,8,"Yes",6753,8015,"No","No","Yes"
"82",41,"Married",0,"Master","Salaried",22,"Other",133316,23,0.462,33917,48,10.59,"Home_Improvement",804,0.21,1,9,"Yes",55799,4137,"No","No","No"
"83",39,"Married",4,"Master","Salaried",17,"Own",186860,21,0.588,54396,48,11.42,"Debt_Consolidation",761,0.95,0,12,"Yes",40090,8175,"No","No","No"
"84",37,"Married",2,"HighSchool","Self_Employed",17,"Rent",58197,19,0.882,36918,60,15,"Business",850,0.171,0,5,"Yes",1919,1645,"No","No","No"
"85",26,"Single",1,"Other","Salaried",5,"Own",89616,8,0.318,30176,18,9.32,"Home_Improvement",773,0.611,0,6,"No",8079,14181,"No","No","No"
"86",44,"Single",0,"Bachelor","Salaried",19,"Mortgage",113465,24,0.487,27794,18,10.93,"Medical",834,0.194,1,4,"Yes",34750,13854,"No","No","No"
"87",36,"Single",2,"Master","Salaried",17,"Mortgage",149566,18,0.275,52956,24,11.11,"Personal",782,0.259,0,7,"No",5952,16239,"No","No","No"
"88",36,"Single",3,"Master","Salaried",17,"Mortgage",189849,18,0.612,33048,18,11.3,"Vacation",850,0.312,0,7,"Yes",31595,23073,"No","Yes","No"
"89",47,"Married",0,"HighSchool","Self_Employed",25,"Own",113877,29,0.498,22998,36,10.02,"Personal",826,0.356,0,7,"Yes",27395,7681,"No","No","No"
"90",46,"Married",0,"Master","Salaried",27,"Own",132019,28,0.347,107881,48,9.48,"Home_Improvement",811,0.706,0,7,"No",4435,9241,"No","Yes","No"
"91",52,"Single",1,"Bachelor","Salaried",34,"Mortgage",109763,34,0.237,48283,60,11.35,"Debt_Consolidation",790,0.681,0,5,"No",31369,8968,"No","No","No"
"92",33,"Married",2,"Bachelor","Self_Employed",13,"Mortgage",85296,15,0.794,70959,60,14.71,"Business",777,0.518,0,6,"Yes",15732,1294,"No","No","No"
"93",45,"Separated",1,"PhD","Salaried",20,"Mortgage",150204,27,0.566,39570,18,9.42,"Home_Improvement",805,0.356,0,11,"Yes",20681,22035,"No","No","No"
"94",52,"Single",0,"Bachelor","Salaried",32,"Own",75481,34,0.282,36983,36,9.39,"Auto",829,0.279,0,8,"No",24081,6185,"No","No","No"
"95",27,"Married",2,"Bachelor","Salaried",6,"Rent",106164,9,0.687,79874,24,9.89,"Auto",850,0.195,0,5,"No",14254,4876,"No","No","No"
"96",29,"Single",0,"Bachelor","Salaried",11,"Own",174353,11,0.512,150000,48,15.12,"Business",850,0.197,0,13,"Yes",18434,8837,"No","Yes","No"
"97",27,"Divorced",1,"HighSchool","Unemployed",1,"Rent",23039,5,0.476,7376,12,13.32,"Debt_Consolidation",653,0.666,2,2,"No",226,1390,"No","Yes","No"
"98",23,"Married",3,"HighSchool","Salaried",5,"Mortgage",41178,5,0.861,17895,24,10.59,"Home_Improvement",718,0.424,0,1,"Yes",542,1356,"No","Yes","No"
"99",39,"Married",2,"HighSchool","Salaried",18,"Own",96725,21,0.373,19743,24,9.08,"Home_Improvement",850,0.15,0,10,"Yes",2489,5685,"No","No","No"
"100",45,"Married",0,"Bachelor","Unemployed",1,"Own",54140,7,0.95,47741,36,11.94,"Auto",680,0.815,1,6,"Yes",1579,442,"No","No","Yes"
"101",50,"Divorced",1,"HighSchool","Unemployed",0,"Own",21815,6,0.478,17669,48,13.2,"Auto",655,0.809,1,6,"No",498,1170,"No","Yes","Yes"
"102",48,"Single",1,"Bachelor","Salaried",30,"Own",119008,30,0.581,24504,36,9.83,"Medical",776,0.707,0,10,"Yes",6446,19149,"No","No","No"
"103",28,"Married",0,"Bachelor","Salaried",7,"Own",94782,10,0.33,36345,36,8.72,"Auto",733,0.389,0,4,"Yes",3744,7299,"No","No","No"
"104",56,"Single",0,"Bachelor","Salaried",36,"Own",89142,38,0.476,16173,24,10.87,"Credit_Card",815,0.087,0,5,"Yes",28807,15846,"No","No","No"
"105",31,"Single",1,"HighSchool","Retired",0,"Other",38513,6,0.684,8080,12,11.2,"Credit_Card",712,0.787,0,1,"No",4204,3231,"No","No","No"
"106",39,"Single",1,"Bachelor","Unemployed",1,"Own",20741,8,0.773,13478,12,12.44,"Debt_Consolidation",653,0.448,1,4,"No",324,809,"No","No","No"
"107",34,"Single",1,"Bachelor","Self_Employed",15,"Rent",88589,16,0.268,45713,48,10.62,"Auto",741,0.252,0,7,"No",9895,5281,"No","No","No"
"108",37,"Divorced",0,"Master","Salaried",18,"Mortgage",149079,19,0.481,24737,60,11.44,"Auto",814,0.417,0,5,"Yes",5250,4789,"No","No","No"
"109",40,"Single",0,"HighSchool","Salaried",21,"Mortgage",85371,22,0.95,119312,24,15.69,"Business",771,0.321,0,4,"No",4301,4962,"No","No","No"
"110",39,"Divorced",3,"Bachelor","Self_Employed",20,"Own",161799,21,0.238,47527,24,9.99,"Medical",767,0.696,0,3,"No",27225,17234,"No","No","No"
"111",38,"Single",0,"Bachelor","Salaried",19,"Mortgage",80126,20,0.789,35601,24,9.78,"Debt_Consolidation",850,0.139,0,4,"Yes",6745,5288,"No","Yes","Yes"
"112",39,"Single",2,"Bachelor","Retired",0,"Mortgage",69586,4,0.479,18742,60,15,"Debt_Consolidation",653,0.725,0,8,"Yes",6335,6955,"No","No","No"
"113",33,"Married",1,"HighSchool","Salaried",13,"Mortgage",65645,15,0.366,64423,48,12.95,"Education",850,0.314,0,8,"No",11512,8326,"No","No","Yes"
"114",33,"Married",0,"Bachelor","Salaried",12,"Mortgage",106481,15,0.523,42661,48,11.12,"Auto",737,0.581,0,4,"Yes",12986,11528,"No","No","No"
"115",21,"Divorced",0,"Master","Salaried",3,"Mortgage",149840,3,0.406,41017,24,9.42,"Debt_Consolidation",804,0.231,0,13,"Yes",41601,8330,"No","No","No"
"116",34,"Married",4,"Master","Salaried",13,"Own",123829,16,0.649,14932,12,11.82,"Credit_Card",796,0.573,0,5,"Yes",19398,6155,"No","No","No"
"117",33,"Single",1,"Other","Unemployed",0,"Own",36897,5,0.48,5098,12,9.55,"Credit_Card",783,0.113,3,3,"No",1001,1242,"No","Yes","No"
"118",65,"Married",1,"Bachelor","Self_Employed",43,"Mortgage",87062,47,0.332,43883,36,9.45,"Home_Improvement",815,0.172,0,9,"No",7238,6813,"No","No","No"
"119",24,"Single",1,"Bachelor","Self_Employed",6,"Own",128701,6,0.777,39686,18,9.23,"Education",752,0.582,0,11,"Yes",11524,3916,"No","Yes","No"
"120",39,"Divorced",3,"HighSchool","Salaried",17,"Rent",48467,21,0.317,27737,36,10.88,"Auto",817,0.413,0,4,"No",3343,9509,"No","Yes","No"
"121",23,"Married",1,"HighSchool","Salaried",0,"Rent",80605,5,0.499,26067,18,10.99,"Credit_Card",772,0.165,1,3,"Yes",3660,8574,"No","Yes","No"
"122",23,"Married",1,"Bachelor","Student",1,"Mortgage",22559,4,0.662,23205,60,12.89,"Auto",723,0.301,1,2,"No",503,8855,"No","No","No"
"123",39,"Married",3,"Bachelor","Salaried",21,"Own",102942,21,0.698,48260,36,10.89,"Debt_Consolidation",803,0.467,0,7,"Yes",75430,6184,"No","No","No"
"124",28,"Married",2,"Bachelor","Salaried",4,"Mortgage",69060,7,0.187,14424,24,10.7,"Vacation",762,0.377,0,3,"No",1811,16273,"No","No","No"
"125",38,"Divorced",0,"HighSchool","Salaried",17,"Mortgage",39064,20,0.487,17455,48,10.63,"Education",776,0.526,1,4,"No",2372,2459,"No","No","No"
"126",34,"Married",1,"HighSchool","Retired",0,"Mortgage",35432,3,0.495,23378,60,12.36,"Debt_Consolidation",790,0.536,0,2,"Yes",661,3594,"No","No","No"
"127",32,"Single",0,"HighSchool","Salaried",8,"Rent",45036,13,0.516,21843,60,14.82,"Debt_Consolidation",713,0.924,0,5,"No",9931,10014,"No","Yes","No"
"128",21,"Married",2,"Bachelor","Salaried",0,"Other",19620,3,0.495,10753,36,9.1,"Auto",720,0.296,1,4,"No",16920,5450,"No","No","No"
"129",26,"Married",1,"Bachelor","Self_Employed",5,"Rent",72678,8,0.67,51887,36,11.74,"Auto",699,0.57,0,3,"No",715,16118,"No","No","No"
"130",40,"Single",2,"PhD","Salaried",17,"Mortgage",190295,21,0.19,45647,60,11.04,"Home_Improvement",850,0.345,0,10,"No",12349,2336,"No","No","No"
"131",44,"Single",1,"Bachelor","Self_Employed",25,"Own",85946,26,0.589,29287,24,10.1,"Medical",843,0.148,0,3,"Yes",42075,7169,"No","No","No"
"132",33,"Married",3,"HighSchool","Salaried",11,"Own",56693,13,0.296,25294,60,11.88,"Debt_Consolidation",766,0.513,0,4,"No",6035,29465,"No","No","No"
"133",38,"Single",0,"PhD","Salaried",17,"Mortgage",165596,20,0.311,34119,24,9.69,"Education",850,0.086,0,15,"No",27499,18498,"No","No","No"
"134",49,"Separated",0,"Master","Self_Employed",28,"Own",131013,31,0.363,40469,84,15.44,"Business",791,0.601,0,9,"No",9023,5017,"No","No","No"
"135",52,"Married",2,"HighSchool","Unemployed",1,"Mortgage",34427,4,0.625,8066,60,12.72,"Home_Improvement",655,0.42,2,8,"Yes",792,1115,"No","No","Yes"
"136",27,"Single",2,"Bachelor","Unemployed",2,"Mortgage",44076,7,0.305,17445,24,10.21,"Auto",705,0.566,1,5,"No",1276,2632,"No","No","No"
"137",37,"Single",0,"HighSchool","Salaried",18,"Own",121732,19,0.371,20297,72,12.83,"Debt_Consolidation",764,0.2,1,10,"Yes",2241,11615,"No","No","No"
"138",50,"Married",0,"HighSchool","Unemployed",1,"Mortgage",24987,5,0.521,8030,48,10.05,"Home_Improvement",750,0.347,2,2,"Yes",2130,2876,"No","No","No"
"139",33,"Married",2,"Bachelor","Salaried",9,"Own",114946,11,0.701,74072,84,15.55,"Debt_Consolidation",850,0.179,0,10,"Yes",8312,3328,"No","No","No"
"140",37,"Married",2,"Other","Salaried",18,"Mortgage",83068,19,0.867,51398,18,9.68,"Education",773,0.675,0,7,"Yes",5556,2949,"No","No","No"
"141",37,"Separated",0,"Other","Self_Employed",17,"Mortgage",84066,19,0.23,18100,24,7.76,"Home_Improvement",809,0.142,0,2,"No",4506,4909,"No","No","No"
"142",29,"Married",4,"Bachelor","Retired",0,"Mortgage",51891,8,0.858,82251,72,14.68,"Education",712,0.63,0,4,"Yes",13412,2584,"No","No","No"
"143",34,"Single",0,"Bachelor","Salaried",11,"Own",64964,14,0.571,16467,48,9.94,"Home_Improvement",844,0.476,0,7,"No",3870,12974,"No","No","No"
"144",38,"Married",2,"HighSchool","Self_Employed",18,"Own",97590,20,0.434,29822,60,10.33,"Auto",768,0.639,0,14,"Yes",1194,62270,"No","No","No"
"145",34,"Single",0,"Bachelor","Salaried",16,"Own",144563,16,0.374,32133,12,8.93,"Home_Improvement",787,0.465,0,7,"No",6998,4985,"No","No","No"
"146",49,"Married",1,"Master","Salaried",24,"Mortgage",179885,28,0.724,79828,36,7.88,"Education",742,0.623,1,9,"Yes",134624,44881,"No","No","No"
"147",33,"Married",2,"Bachelor","Salaried",15,"Mortgage",67761,15,0.298,17446,36,9.93,"Debt_Consolidation",840,0.362,0,5,"No",5191,2066,"No","No","No"
"148",34,"Single",1,"Master","Self_Employed",15,"Rent",123438,16,0.645,77511,36,10.29,"Home_Improvement",801,0.049,0,7,"Yes",1889,20103,"No","Yes","No"
"149",45,"Single",0,"HighSchool","Salaried",27,"Rent",60327,27,0.696,18854,36,11.45,"Debt_Consolidation",770,0.888,0,0,"Yes",4608,20851,"No","No","No"
"150",27,"Married",1,"Bachelor","Self_Employed",4,"Rent",125574,7,0.809,105868,24,12.74,"Business",777,0.076,0,10,"Yes",28636,8355,"No","No","No"
"151",38,"Married",3,"Bachelor","Salaried",19,"Mortgage",103559,20,0.558,32860,18,9.59,"Debt_Consolidation",767,0.689,0,10,"Yes",2010,9709,"No","No","No"
"152",22,"Married",1,"Bachelor","Salaried",0,"Other",51019,4,0.371,17589,36,8.3,"Auto",771,0.267,0,7,"No",3261,5723,"No","No","No"
"153",50,"Married",0,"PhD","Salaried",31,"Own",258570,32,0.306,55036,60,14.9,"Medical",804,0.535,0,12,"Yes",96295,21418,"No","No","No"
"154",35,"Divorced",4,"Bachelor","Salaried",16,"Mortgage",110728,17,0.504,55135,36,10.44,"Education",815,0.288,0,4,"Yes",8834,4825,"No","No","No"
"155",33,"Single",0,"HighSchool","Salaried",8,"Own",59842,15,0.276,25074,48,13.34,"Education",621,0.814,0,8,"No",7144,3199,"Yes","No","No"
"156",26,"Separated",3,"PhD","Salaried",7,"Mortgage",130818,8,0.814,37381,60,11.25,"Home_Improvement",753,0.752,0,7,"Yes",3819,7503,"No","Yes","No"
"157",38,"Divorced",1,"Master","Self_Employed",18,"Own",115502,20,0.602,69110,72,14.19,"Home_Improvement",828,0.303,0,4,"Yes",14410,7116,"No","No","No"
"158",30,"Widowed",1,"Master","Salaried",12,"Mortgage",108709,12,0.517,27699,36,9.1,"Debt_Consolidation",850,0.336,0,3,"Yes",1746,8541,"No","No","No"
"159",33,"Married",1,"Master","Salaried",13,"Own",103431,15,0.444,19546,36,9.48,"Credit_Card",834,0.442,0,5,"Yes",11837,11604,"No","No","No"
"160",51,"Single",0,"HighSchool","Salaried",28,"Mortgage",139545,31,0.461,147981,48,14.61,"Business",850,0.279,0,6,"No",30409,8352,"No","No","No"
"161",36,"Married",0,"Master","Salaried",13,"Mortgage",181848,18,0.152,68575,60,11.51,"Auto",787,0.156,0,7,"No",8339,11115,"No","No","No"
