"ID","Country","Sales","Profit","Assets","Value"
108,"US",13.267,11.057,42.445,75.65
109,"Japan",43.631,9.878,44.898,52.96
110,"China",30.706,2.327,77.652,6.591
111,"UK",2.147,11.991,71.221,37.155
112,"China",21.727,5.4,155.879,29.002
113,"US",6.393,1.184,138.353,2.789
114,"US",18.805,2.238,53.427,52.154
115,"US",21.989,3.019,507.224,67.689
116,"US",31.381,-0.067,20.719,20.175
117,"China",6.355,3.336,18.198,52.204
118,"US",37.337,12.326,23.124,4.556
119,"US",12.447,17.267,72.891,94.486
120,"China",8.948,16.936,9.634,107.544
121,"UK",23.492,14.879,50.244,67.678
122,"US",11.241,0.955,339.727,2.525
123,"US",91.72,9.646,42.993,4.458
124,"US",4.955,-0.16,88.393,6.121
125,"China",9.905,8.823,82.706,223.161
126,"US",11.716,1.257,65.975,9.535
127,"US",8.234,12.791,246.177,52.127
128,"US",18.133,4.6,313.762,14.026
129,"US",7.8,18.002,108.811,149.149
130,"China",12.912,7.561,8.467,41.777
131,"China",20.999,3.615,21.892,46.035
132,"US",30.633,13.461,77.864,11.1
133,"US",21.422,12.125,202.814,113.034
134,"China",26.324,1.175,121.968,15.695
135,"Japan",48.888,10.153,77.734,25.245
136,"China",11.622,-4.775,35.162,0.594
137,"China",1.005,11.532,78.226,94.638
138,"US",1.515,5.204,82.644,34.432
139,"UK",55.205,10.125,169.712,35.668
140,"US",12.068,1.09,55.429,16.358
141,"China",9.586,7.392,165.205,21.734
142,"China",68.827,20.869,12.335,181.641
143,"US",14.439,-1.456,170.542,7.036
144,"US",17.382,8.927,13.054,53.492
145,"China",0.034,4.967,45.436,86.837
146,"US",4.39,9.202,33.095,55.367
147,"US",15.003,2.034,64.056,6.338
148,"China",27.711,10.909,352.892,15.222
149,"US",23.188,20.037,1.968,176.828
150,"Japan",0.971,-8.532,205.537,14.89
151,"China",5.133,-3.188,32.75,23.334
152,"China",34.965,11.287,170.962,0.599
153,"US",63.467,16.156,24.086,37.018
154,"US",0.9,-2.593,86.247,18.977
155,"US",13.89,-0.781,72.478,36.48
156,"US",14.737,8.664,301.016,21.977
157,"US",2.261,4.533,3.59,96.791
158,"US",20.252,13.299,25.049,26.633
159,"US",5.506,10.33,174.404,20.674
160,"US",44.918,1.404,108.621,7.72
161,"US",20.765,2.101,2.387,31.248
162,"Japan",10.413,-0.595,49.022,40.513
163,"US",32.59,8.394,78.617,3.046
164,"China",8.157,-0.158,35.421,52.698
165,"Japan",0.09,-6.329,108.494,32.633
166,"US",38.091,16.01,2.198,12.764
167,"US",126.626,26.709,110.749,25.284
168,"US",78.423,20.552,124.164,55.115
169,"China",2.278,2.777,112.094,66.672
170,"US",25.791,6.789,26.599,33.904
171,"China",19.88,7.841,16.825,24.17
172,"Japan",13.85,2.019,43.418,68.01
173,"Japan",63.134,11.409,108.893,23.183
174,"US",6.322,1.94,10.857,1.937
175,"US",6.534,11.608,48.594,38.931
176,"Japan",19.439,8.476,63.94,31.754
177,"China",7.383,8.755,2.486,24.152
178,"China",0.113,9.417,116.104,109.753
179,"China",9.111,-1.273,91.593,27.05
180,"Japan",8.664,7.404,45.566,93.906
181,"US",37.714,0.102,39.946,17.405
182,"US",5.843,5.574,53.965,6.907
183,"Japan",1.679,19.485,129.652,162.273
184,"US",20.689,7.741,15.361,58.835
185,"Japan",5.516,4.339,230.119,97.149
186,"US",13.168,9.525,35.041,32.939
187,"China",8.359,2.377,9.324,5.327
188,"China",21.747,5.003,72.035,40.293
189,"Japan",28.258,10.302,28.866,10.461
190,"China",24.909,3.158,43.113,31.446
191,"China",10.518,7.937,109.981,14.986
192,"US",8.407,2.381,3.52,59.289
193,"US",73.164,15.414,2.509,24.817
194,"Japan",42.188,12.353,44.083,21.008
195,"US",20.813,0.686,140.086,40.388
196,"China",35.51,14.697,38.36,90.792
197,"US",4.871,1.227,288.201,11.73
198,"Japan",25.69,8.939,208.402,23.193
199,"US",4.557,1.786,128.397,56.587
200,"China",39.269,9.323,74.636,42.781
