"Toy","Sales","Marketing"
"A",751.589,190.756
"A",1018.634,199.803
"B",617.182,174.502
"A",677.698,174.267
"A",599.594,170.671
"A",694.465,175.029
"A",664.437,180.643
"A",853.329,192.245
"A",646.01,177.073
"A",828.646,180.105
"A",885.942,198.574
"A",718.762,180.407
"A",648.824,170.683
"A",822.261,186.529
"A",794.919,180.939
"A",892.851,181.842
"B",596.882,180.236
"A",903.856,181.137
"A",876.941,183.254
"A",766.809,187.966
"A",961.534,185.29
"A",1059.861,189.202
"A",748.575,190.819
"A",881.654,183.389
"A",803.275,177.805
"A",1039.328,198.963
"B",571.369,171.216
"A",885.627,191.477
"B",509.733,170.791
"A",645.141,173.529
"A",734.709,180.431
"B",555.497,175.692
"B",587.016,168.759
"A",932.19,201.077
"B",432.778,162.131
"B",382.616,161.897
"B",551.239,151.984
"B",552.247,172.377
"A",897.914,197.086
"B",518.529,172.784
"A",682.442,167.362
"A",958.804,197.952
"A",642.726,165.398
"A",743.76,186.814
"A",694.949,172.982
"B",634.679,174.253
"B",685.929,188.464
"B",647.55,176.99
"B",524.944,159.259
"A",862.643,182.875
"B",543.559,168.734
"B",541.015,174.045
"B",528.016,167.957
"B",360.105,150.28
"B",629.317,173.909
"B",617.345,151.577
"B",515.317,177.134
"B",522.318,158.378
"A",903.672,192.537
"B",659.612,186.99
"B",666.771,173.769
"A",847.97,181.704
"B",623.592,179.221
"A",827.545,188.324
"B",851.804,185.707
"A",660.282,173.442
"B",510.254,165.034
"B",596.571,175.218
"B",582.52,166.385
"B",539.926,165.601
"A",733.034,171.213
"B",440.099,164.92
"B",435.318,153.952
"A",620.216,171.668
"B",563.017,170.603
"A",748.348,187.065
"A",709.276,169.903
"B",563.921,164.848
"B",542.5,178.197
"B",563.544,154.123
"B",650.563,174.059
"B",624.051,159.931
"B",603.917,173.345
"A",737.254,180.268
"B",533.714,152.194
"B",485.33,161.207
"B",475.31,162.678
"A",684.813,164.917
"B",801.803,175.576
"B",708.139,175.779
"A",803.012,172.919
"B",594.279,170.785
"B",745.578,182.164
"B",568.486,169.529
"A",819.457,183.185
"A",896.682,181.273
"A",746.113,178.099
"A",954.175,190.673
"B",695.85,175.991
"B",738.178,171.913
"A",734.135,177.582
"A",674.515,181.756
"A",793.843,181.808
"A",762.977,182.31
"A",829.614,187.56
"B",683.193,181.589
"B",472.154,164.538
"A",683.639,179.251
"A",976.643,195.869
"A",1032.208,197.624
"B",664.453,173.296
"A",787.952,180.727
"B",696.513,175.802
"B",528.66,160.016
"A",918.768,193.538
"B",611.631,168.141
"A",888.532,184.365
"B",463.057,164.367
"B",730.565,163.803
"B",466.04,170.074
"A",963.054,200.579
"B",804.189,179.732
"B",751.511,177.139
"A",958.78,186.448
"B",741.983,166.64
"A",703.795,184.438
"B",315.703,161.493
"A",794.204,195.724
"B",788.532,175.871
"A",669.959,186.356
"A",562.158,167.982
"A",867.032,182.89
"B",934.521,183.537
"A",933.197,185.626
"B",517.425,165.159
"B",662.158,163.438
"A",707.663,181.453
"A",804.076,184.937
"B",497.145,168.495
"A",871.528,180.616
"A",888.497,183.466
"B",557.17,175.86
"B",701.81,166.08
"A",672.02,181.197
"B",485.192,172.789
"A",845.988,198.117
"B",518.184,159.452
"B",516.376,167.884
"A",899.519,186.587
"B",458.348,164.955
"B",508.83,170.727
"B",565.912,163.451
"A",914.89,194.519
"B",678.658,182.079
"A",675.67,192.922
"B",750.016,168.95
"A",762.999,200.026
"A",900.034,188.013
"B",428.279,162.802
"A",930.462,183.999
"B",542.229,169.019
"A",672.095,172.344
"B",716.87,173.709
"B",633.816,160.057
"A",715.845,184.819
"A",890.219,183.697
"B",603.783,162.746
"B",621.31,172.185
"B",634.137,175.241
"B",571.549,167.109
"B",607.33,172.753
"A",956.41,192.515
"B",564.432,165.052
"A",962.325,203.248
"A",754.169,178.207
"B",660.227,162.968
"A",779.998,173.594
"A",743.684,171.869
"A",793.506,192.484
"B",358.268,156.99
"B",554.301,158.897
"A",838.914,186.701
"A",580.038,170.554
"B",782.38,177.252
"A",751.237,181.527
"B",689.391,182.539
"A",786.26,166.518
"B",691.939,169.841
"B",450.258,166.736
"A",826.669,181.985
"A",753.556,177.257
"A",925.984,186.083
"A",715.767,183.275
"A",1081.567,215.664
"A",886.047,188.742
"A",658.067,171.014
"A",963.361,192.97
"A",898.189,193.411
"B",570.142,167.92
"B",636.039,168.849
"A",893.413,180.178
"B",590.523,172.716
"A",974.659,201.739
"B",563.62,170.691
"B",540.671,163.973
"B",572.811,171.46
"B",506.448,156.188
"B",646.942,168.699
"B",580.934,164.372
"B",597.508,165.158
"A",875.285,192.261
"B",756.386,178.829
"A",691.006,180.393
"B",645.918,166.255
"A",693.636,184.197
"A",864.432,193.895
"B",487.507,156.719
"A",725.856,177.986
"A",944.815,187.91
"B",636.842,170.186
"A",992.29,184.063
"B",636.319,166.763
"A",553.682,168.749
"B",764.774,172.918
"A",779.375,183.084
"A",869.163,194.134
"A",784.393,182.383
"A",1027.329,198.396
"A",816.389,194.01
"A",846.98,187.596
"B",481.205,162.503
"A",726.859,168.423
"A",716.353,175.941
"B",750.733,176.83
"A",945.09,188.504
"A",933.893,189.467
"A",848.099,185.226
"A",907.877,190.661
"B",571.17,171.812
"B",509.95,167.078
"A",880.905,195.422
"B",608.84,166.341
"A",1115.753,199.166
"B",623.211,184.916
"B",556.488,168.138
"B",690.544,170.635
"B",660.295,180.669
"A",750.63,178.518
"A",749.788,171.862
"B",673.369,172.43
"A",732.46,179.705
"B",686.338,172.129
"B",512.048,163.199
"A",859.767,177.571
"A",713.199,179.1
"A",993.616,194.722
"A",743.613,179.346
"A",994.707,200.905
"B",772.931,182.774
"A",575.024,168.48
"B",549.584,161.742
"A",764.689,179.926
"B",594.455,160.847
"B",676.436,166.032
"B",699.388,159.511
"B",554.333,163.487
"A",651.55,173.879
"B",810.255,179.337
"B",470.071,157.479
"B",603.662,176.468
"B",679.205,166.455
"A",626.757,167.033
"A",677.261,171.195
"B",699.393,169.624
"B",637.436,159.135
"A",755.972,173.368
"A",929.758,194.406
"A",780.48,193.074
"A",725.34,174.968
"A",939.627,188.135
"A",823.601,182.175
"A",880.898,194.565
"B",781.184,176.42
"B",487.359,168.82
"B",661.669,173.739
"B",571.081,165.538
"A",746.864,174.302
"B",720.75,169.028
"B",525.277,166.984
"A",756.617,184.492
"A",771.748,175.232
"A",539.633,181.545
"A",725.088,173.232
"B",413.167,163.279
"A",732.327,183.404
"A",729.515,181.06
"B",487.722,153.721
"A",791.73,185.423
"A",778.856,187.357
"B",666.629,175.006
"A",802.53,180.861
"A",798.979,177.435
"B",658.453,169.378
"B",487.532,170.595
"B",681.422,166.692
"A",589.614,176.708
"B",561.765,166.182
"B",534.255,167.092
"B",659.682,162.305
"A",921.628,198.416
"B",353.096,162.017
"B",702.212,172.941
"B",441.281,166.955
"B",379.269,153.647
"B",620.132,175.967
"B",482.785,152.678
"A",899.241,189.211
"A",636.128,172.135
"B",648.002,162.226
"B",589.369,163.287
"A",756.27,186.906
"A",789.702,173.278
"B",504.322,175.672
"B",679.151,168.741
"B",535.783,161.582
"B",456.406,156.523
"A",901.461,182.942
"A",721.298,178.882
"A",744.048,166.113
"B",508.962,164.573
"B",629.826,168.428
"B",600.522,174.16
"B",594.865,168.35
"B",642.959,164.281
"A",708.932,179.233
"A",898.718,188.767
"B",804.979,192.815
"A",867.267,191.042
"B",659.185,171.341
"B",526.557,166.447
"A",649.932,164.838
"B",586.797,167.562
"B",577.771,158.374
"B",659.726,179.3
"A",765.62,175.772
"A",780.112,182.441
"B",510.791,158.979
"B",457.821,157.931
"A",633.933,174.191
"B",634.071,169.066
"B",734.446,177.16
"B",523.776,167.822
"A",763.836,180.242
"B",618.821,161.223
"B",541.105,166.407
"B",535.555,179.318
"A",836.969,183.773
"A",952.547,201.832
"B",749.418,179.497
"B",685.062,173.318
"A",588.119,170.154
"B",728.044,167.026
"A",582.427,172.038
"A",803.301,182.394
"B",498.136,162.736
"A",693.988,175.627
"B",619.589,174.842
"B",567.062,157.663
"A",909.928,195.694
"B",458.89,174.84
"B",413.981,157.478
"A",722.568,176.913
"A",885.426,198.476
"B",713.874,176.077
"A",994.039,188.795
"A",964.995,207.414
"B",559.333,170.774
"B",661.121,180.453
"A",957.057,195.944
"A",752.549,179.601
"B",586.746,160.161
"A",1056.461,199.969
"B",560.928,161.811
"B",662.404,177.848
"B",449.077,158.868
"A",813.119,188.599
"A",690.146,175.434
"B",455.701,154.044
"B",675.293,174.221
"A",620.497,167.922
"A",772.724,176.84
"B",532.471,166.84
"B",650.086,165.995
"A",736.653,178.705
"B",692.246,166.462
"A",828.202,183.685
"A",664.795,180.754
"B",565.552,163.32
"A",845.437,184.618
"B",577.687,154.55
"B",590.666,176.134
"A",569.493,160.761
"B",602.535,172.46
"B",438.201,161.152
"A",691.101,179.192
"A",789.141,173.431
"B",594.541,167.696
"A",935.257,197.474
"B",660.126,170.218
"B",490.938,176.83
"A",906.142,189.182
"A",677.495,178.667
"B",421.819,156.069
"A",685.437,173.121
"A",838.203,188.488
"B",460.272,158.679
"A",780.148,182.451
"A",943.96,182.748
"A",814.76,195.015
"A",737.742,174.038
"B",663.806,182.28
"A",837.775,192.152
"A",860.874,187.146
"A",748.659,176.929
"B",598.711,174.226
"B",515.823,160.741
"A",584.377,169.886
"A",996.525,194.022
"A",724.094,184.565
"A",761.682,178.55
"B",601.942,150.397
"B",569.113,166.552
"B",755.868,173.881
"B",622.923,164.374
"B",582.927,166.04
"A",474.831,160.771
"B",512.806,175.517
"A",713.586,181.545
"B",602.607,173.113
"A",708.823,175.45
"B",544.362,166.135
"A",1095.528,188.437
"A",975.378,180.053
"A",1076.751,196.298
"B",545.893,167.982
"A",909.73,189.063
"B",676.861,172.896
"A",1022.282,209.616
"A",774.029,173.893
"A",907.636,182.296
"B",649.801,169.977
"B",464.291,170.925
"B",608.187,170.852
"B",592.742,188.805
"B",537.765,156.202
"A",685.446,174.126
"B",689.093,166.176
"B",599.959,161.846
"A",668.684,182.335
"A",957.947,190.132
"B",541.715,163.125
"A",873.468,192.164
"B",521.78,162.257
"B",698.182,170.625
"A",869.58,185.787
"A",841.255,183.653
"B",666.246,170.286
"B",770.172,171.191
"A",692.155,175.963
"A",877.235,181.822
"A",728.444,181.554
"B",444.699,146.473
"B",594.196,176.93
"B",642.56,173.416
"A",797.822,176.032
"A",860.882,178.691
"A",821.956,197.667
"B",551.337,171.711
"B",654.599,166.123
"A",663.428,181.363
"B",461.265,164.77
"A",767.397,181.388
"A",768.806,171.696
"A",762.338,180.478
"B",426.184,166.447
"A",684.707,177.235
"B",573.868,150.042
"A",733.627,184.164
"B",563.425,170.555
"A",607.738,178.875
"A",951.109,193.345
"A",1103.437,203.613
"A",966.864,191.457
"A",893.688,191.858
"A",581.979,171.334
"B",728.381,178.641
"B",630.797,158.187
"B",704.496,172.82
"A",798.518,190.268
"A",1154.513,196.843
"B",598.478,173.408
"A",705.001,174.85
"A",948.476,182.035
"A",1020.31,189.794
"A",596.071,173.277
"A",671,168.728
"B",635.6,176.683
"A",1106.841,206.697
"A",778.378,171.42
"A",1083.305,199.346
"A",799.522,174.687
"A",800.973,179.043
"A",948.41,191.32
"B",511.338,168
"A",793.116,197.703
"B",718.358,171.724
"A",980.384,183.635
"A",868.88,191.038
"A",695.944,180.757
"A",884.006,195.63
"B",669.477,183.043
"A",805.524,182.095
"A",628.995,173.71
"B",472.541,156.188
"B",551.361,175.059
"A",996.632,190.413
"A",672.875,177.534
"B",771.83,178.844
"B",484.145,170.749
"A",914.119,192.142
"B",416.228,160.392
"B",705.523,171.409
"A",731.987,172.841
"A",804.138,185.501
"B",689.606,177.594
"B",535.306,165.414
"A",832.754,183.818
"A",594.921,177.078
"B",703.115,171.704
"A",934.76,188.938
"A",1206.255,208.071
"A",846.889,198.801
"A",785.284,175.405
"A",534.778,167.851
"B",671.996,174.572
"B",597.978,172.531
"B",802.351,183.546
"B",667.79,185.314
"B",750.675,171.496
"A",679.241,182.064
"A",887.125,188.963
"A",822.17,181.274
"A",1011.23,207.047
"A",883.397,196.184
"A",1013.156,197.107
"B",277.875,160.188
"B",423.463,174.601
"A",580.805,164.808
"B",785.323,180.55
"B",398.964,167.777
"A",670.809,166.626
"A",721.707,180.008
"B",830.564,182.475
"A",674.173,170.625
"B",593.979,167.868
"A",717.617,174.801
"A",762.401,190.285
"B",758.701,174.784
"B",721.078,185.649
"A",689.945,174.654
"A",894.148,188.99
"B",697.031,176.404
"B",557.059,156.696
"B",532.857,159.077
"A",877.75,189.592
"B",737.954,178.149
"B",490.127,159.943
"A",735.322,181.859
"B",661.324,170.924
"B",354.134,153.209
"B",602.784,171.737
"A",635.927,167.976
"A",655.182,176.51
"B",614.312,160.696
"A",790.713,175.01
"B",700.597,174.818
"B",493.005,164.145
"A",671.588,167.6
"B",433.164,173.587
"A",796.753,183.704
"B",407.447,158.053
"A",774.267,189.53
"B",526.909,179.654
"A",884.466,191.374
"A",645.231,171.804
"A",820.907,186.659
"B",628.387,177.168
"B",545.836,167.775
"B",823.083,181.776
"B",686.725,174.052
"A",831.66,190.636
"B",458.221,158.071
"A",983.773,197.56
"B",420.781,167.037
"B",451.848,152.272
"B",644.159,165.741
"B",591.237,165.461
"B",480.63,173.461
"B",511.472,151.738
"A",758.09,189.85
"B",665.576,181.065
"A",757.207,187.581
"B",560.541,169.407
"A",621.547,173.766
"B",630.484,185.039
"A",853.437,187.717
"B",529.75,168.298
"A",735.18,167.228
"A",886.806,190.295
"B",745.442,186.473
"B",421.818,155.089
"A",830.585,190.827
"B",489.08,154.744
"A",933.348,202.564
"A",843.014,180.987
"B",644.235,184.283
"A",849.766,178.566
"B",662.265,178.773
"A",866.195,197.978
"B",697.93,184.008
"A",852.713,187.216
"A",464.684,165.793
"B",534.244,179.461
"A",865.79,192.811
"A",769.147,187.615
"B",532.405,171.345
"A",719.604,170.364
"A",552.967,172.865
"B",686.345,179.044
"B",738.665,167.804
"A",646.868,172.313
"B",623.779,181.405
"A",721.128,174.564
"A",691.952,168.245
"A",449.783,165.172
"A",509.796,160.212
"B",636.625,181.93
"B",875.638,179.204
"B",675.689,168.743
"A",851.242,176.505
"B",648.471,176.975
"B",640.058,176.771
"B",445.067,160.963
"B",618.996,172.343
"B",510.555,166.531
"A",817.876,195.56
"B",568.396,169.982
"B",579.082,171.95
"A",820.708,186.346
"B",490.987,172.342
"B",468.914,169.828
"B",394.632,163.381
"A",795.712,187.438
"A",692.055,167.855
"B",780.195,175.368
"B",515.231,157.964
"A",657.774,179.988
"A",666.145,167.276
"A",757.9,180.938
"B",477.2,174.046
"B",724.913,176.703
"B",575.929,172.602
"B",569.158,171.852
"B",579.584,171.86
"B",564.933,173.793
"A",801.417,178.885
"B",558.859,187.036
"B",841.126,189.355
"B",555.228,164.069
"B",675.737,178.557
"A",995.324,192.608
"B",429.692,159.498
"B",604.852,164.908
"A",777.647,178.79
"A",552.437,169.098
"B",559.581,168.741
"B",523.042,170.908
"A",635.162,172.358
"B",595.017,166.731
"B",674.58,172.011
"B",612.096,181.616
"B",657.43,169.55
"B",435.792,159.638
"A",621.948,177.102
"A",606.789,178.472
"B",683.738,172.356
"A",919.031,194.469
"A",815.825,184.333
"A",946.861,187.948
"B",624.149,163.721
"B",722.893,178.363
"B",560.047,169.215
"B",411.366,165.492
"B",460.156,159.979
"B",610.588,178.998
"B",554.106,156.377
"A",798.74,195.993
"B",641.051,179.431
"A",806.59,178.243
"B",724.98,176.209
"B",635.316,157.289
"B",307.5,155.957
"B",377.139,152.031
"A",925.73,199.254
"A",823.335,180.98
"B",690.818,171.851
"A",900.681,183.427
"A",922.509,193.858
"A",957.668,192.965
"B",555.794,167.637
"B",413.591,159.016
"A",902.596,186.17
"A",833.063,186.193
"A",743.282,182.876
"A",929.885,198.762
"A",835.928,186.101
"B",714.959,182.633
"A",541.1,153.951
"B",532.461,163.904
"A",688.361,180.68
"A",791.738,185.627
"A",948.502,185.661
"A",767.17,175.925
"A",802.357,182.963
"A",831.46,181.812
"A",950.546,189.351
"A",875.662,177.993
"B",599.772,173.42
"B",505.333,161.289
"B",459.593,172.868
"B",773.094,176.994
"A",594.349,166.198
"B",545.42,168.697
"A",892.428,183.146
"A",998.213,189.894
"B",447.95,155.907
"A",737.413,169.858
"A",902.285,183.558
"B",688.633,184.891
"A",557.318,164.1
"B",535.263,164.126
"A",688.89,184.21
"A",830.829,190.89
"A",761.567,171.523
"A",805.756,179.738
"B",607.466,160.977
"B",685.288,172.48
"A",786.027,174.68
"B",763.771,179.654
"B",877.603,174.31
