CAS_RN,CHEMICAL_NAME,PARAMETER,constituent
14797-65-0,Nitrite,Nitrite as N as N,NO2
14797-65-0,Nitrite,Nitrite-N as N,NO2
14797-65-0,Nitrite,"Nitrogen, nitrite, as NO2 as N",NO2
14265-44-2,Orthophosphate,"Orthophosphate, as P as P",OP
14265-44-2,Orthophosphate,Orthophosphate as P as P,OP
14265-44-2,Orthophosphate,"Orthophosphate as P, Dissolved as P",OP
14265-44-2,Orthophosphate,Orthophosphate as P (LF) as P,OP
14265-44-2,Orthophosphate,phosphate-P as P,OP
14265-44-2,Orthophosphate,"Orthophosphate Phosphorus, Total as P",OP
14265-44-2,Orthophosphate,"Orthophosphate Phosphorus, Dissolved as P",OP
14265-44-2,Orthophosphate,"Ortho Phosphorus, Dissolved as P",OP
14265-44-2,Orthophosphate,Orthophosphate as P,OP
14265-44-2,Orthophosphate,Ortho Phosphorus as P,OP
14265-44-2,Orthophosphate,"Phosphorus, Soluble Ortho as P",OP
14265-44-2,Orthophosphate,Orthophosphate as P (FF) as P,OP
14265-44-2,Orthophosphate,Phosphorus as P,OP
SSC,Suspended Sediment Concentration (SSC),Suspended Sediment Concentration (SSC),SSC
SOLIDS-TDS,Total dissolved solids,Residue - filterable (TDS),TDS
SOLIDS-TDS,Total dissolved solids,Total dissolved solids (TDS),TDS
SOLIDS-TDS,Total dissolved solids,"Solids, Total Dissolved",TDS
SOLIDS-TDS,Total dissolved solids,Total dissolved solids,TDS
SOLIDS-TDS,Total dissolved solids,Total Dissolved Solids,TDS
N-KJEL,Kjeldahl nitrogen,"Kjeldahl Nitrogen, Total as N",TKN
N-KJEL,Kjeldahl nitrogen,Total Kjeldahl Nitrogen as N,TKN
N-KJEL,Kjeldahl nitrogen,TKN as N,TKN
N-KJEL,Kjeldahl nitrogen,"Nitrogen, Total Kjeldahl (TKN) as N",TKN
N-KJEL,Kjeldahl nitrogen,"Nitrogen, Total Kjeldahl as N",TKN
N-KJEL,Kjeldahl nitrogen,Kjeldahl nitrogen as N,TKN
PHOSPHATE-P,Phosphate-phosphorus,Phosphate-phosphorus as P,TP
7723-14-0,Phosphorus,Orthophosphate as P,TP
7723-14-0,Phosphorus,"Phosphorus, Total as P",TP
7723-14-0,Phosphorus,"Phosphorus, Total as P as P",TP
7723-14-0,Phosphorus,"Phosphorus, Total Dissolved, as P (FF) as P",TP
7723-14-0,Phosphorus,Total Diss Phosphorus as P,TP
7723-14-0,Phosphorus,"Phosphorus, Dissolved as P",TP
7723-14-0,Phosphorus,"Phosphorus, Total Dissolved, as P (LF) as P",TP
7723-14-0,Phosphorus,Total Phosphorus as P,TP
7723-14-0,Phosphorus,total phosphorus as P,TP
7723-14-0,Phosphorus,Phosphorus as P,TP
7723-14-0,Phosphorus,"Phosphorus, Total",TP
SOLIDS-TS,Total solids,Total solids,TS
SOLIDS-TS,Total solids,Total Solids,TS
SOLIDS-TSS,Total suspended solids,"Solids, Total Suspended",TSS
SOLIDS-TSS,Total suspended solids,Total Suspended Solids in Water,TSS
SOLIDS-TSS,Total suspended solids,Total suspended solids,TSS
SOLIDS-TSS,Total suspended solids,Residue - nonfilterable (TSS),TSS
SOLIDS-TSS,Total suspended solids,total suspended solids,TSS
SOLIDS-TSS,Total suspended solids,"Solids, Suspended",TSS
SOLIDS-TSS,Total suspended solids,Total Suspended Solids,TSS
TEMP-W,"Temperature, water","Temperature, water",WT
TEMP-W,"Temperature, water","Temperature, field",WT
TEMP-W,"Temperature, water","Temperature, Water",WT
TEMP-W,"Temperature, water",Field Temperature,WT
