param,i,j,value
log_VisitDepart,0,3,-5.931818859
log_VisitDepart,0,4,-5.931818859
log_VisitDepart,1,0,-5.931818859
log_VisitDepart,1,1,-5.931818859
log_VisitDepart,1,2,-5.931818859
log_VisitDepart,1,3,-5.931818859
log_VisitDepart,1,4,-5.931818859
log_VisitDepart,2,0,-5.931818859
log_VisitDepart,2,1,-5.931818859
log_VisitDepart,2,2,-5.931818859
log_VisitDepart,2,3,-5.931818859
log_VisitDepart,2,4,-5.931818859
log_VisitDepart,3,0,-5.931818859
log_VisitDepart,3,1,-5.931818859
log_VisitDepart,3,2,-5.931818859
log_VisitDepart,3,3,-5.931818859
log_VisitDepart,3,4,-5.931818859
log_VisitDepart,4,0,-5.931818859
log_VisitDepart,4,1,-5.931818859
log_VisitDepart,4,2,-5.931818859
log_VisitDepart,4,3,-5.931818859
log_VisitDepart,4,4,-5.931818859
log_VisitReturn,0,0,-0.1574144713
log_VisitReturn,0,1,-0.1574144713
log_VisitReturn,0,2,-0.1574144713
log_VisitReturn,0,3,-0.1574144713
log_VisitReturn,0,4,-0.1574144713
log_VisitReturn,1,0,-0.1574144713
log_VisitReturn,1,1,-0.1574144713
log_VisitReturn,1,2,-0.1574144713
log_VisitReturn,1,3,-0.1574144713
log_VisitReturn,1,4,-0.1574144713
log_VisitReturn,2,0,-0.1574144713
log_VisitReturn,2,1,-0.1574144713
log_VisitReturn,2,2,-0.1574144713
log_VisitReturn,2,3,-0.1574144713
log_VisitReturn,2,4,-0.1574144713
log_VisitReturn,3,0,-0.1574144713
log_VisitReturn,3,1,-0.1574144713
log_VisitReturn,3,2,-0.1574144713
log_VisitReturn,3,3,-0.1574144713
log_VisitReturn,3,4,-0.1574144713
log_VisitReturn,4,0,-0.1574144713
log_VisitReturn,4,1,-0.1574144713
log_VisitReturn,4,2,-0.1574144713
log_VisitReturn,4,3,-0.1574144713
log_VisitReturn,4,4,-0.1574144713
log_Infect,0,0,-10.729333973
log_Infect,1,1,-10.729333973
log_Infect,2,2,-10.729333973
log_Infect,3,3,-10.729333973
log_Infect,4,4,-10.729333973
