id,name,category,description,trigger,action,reward,implementation_hints,required_components,metrics
auto-flow-cartographer,Auto Flow Cartographer,activation,CLI tool that automatically maps application routes and user flows from code,Developer runs CLI init command,CLI parses codebase and maps all flows,Developer gets instant tracking coverage,"Build AST parser for routes|Map user flows automatically|Visualize flow maps|Store flow data",cli_tools|ast_parser|visualization|database,time_to_instrumentation|coverage_rate|setup_speed
linear-sync-prompt,Linear Sync Prompt,activation,Detects Linear references in code and prompts integration setup,Linear issue references found in codebase,System prompts Linear integration setup,User connects Linear and increases stickiness,"Scan code for Linear patterns|Prompt integration setup|Track Linear usage|Monitor sync health",code_scanner|integration_api|banner_system|analytics,integration_rate|ltv|retention_rate
vercel-deploy-prompt,Vercel Deploy Prompt,activation,Offers one-click Vercel deployment when user creates new project,New project created in dashboard,System shows one-click Vercel deploy modal,User deploys faster and sees value,"Detect project creation|Integrate Vercel API|Offer one-click deploy|Track deployment success",vercel_api|deployment_system|modal_system|analytics,deployment_rate|time_to_value|activation_rate
problem-solver,Adoption,acquisition,Suggests relevant features when users encounter specific errors,User encounters specific error code,System suggests feature that solves the problem,Negative experience converts to feature adoption,"Listen for error events|Map errors to solutions|Show contextual suggestions|Track adoption from errors",error_tracking|feature_mapping|notification_system|analytics,migration_rate|support_reduction|feature_adoption
change-log-digest,Adoption,retention,Shows summary of new features to users who haven't logged in recently,User returns after 30+ days inactive,System shows modal with recent updates,Dormant user re-engages with new features,"Track last login date|Aggregate release notes|Show summary modal|Track re-engagement",database|content_system|modal_system|analytics,dau_lift|reactivation_rate|feature_discovery
usage-wall-alert,Usage Wall Alert,revenue,Shows persistent warning when users approach their plan limits,User reaches 80% of quota,System displays warning banner,User upgrades before hitting hard limit,"Monitor usage vs quotas|Show graduated warnings|Make upgrade easy|Track conversion",usage_metering|banner_system|billing_system|analytics,upgrade_conversion_rate|revenue_growth|limit_awareness
80-percent-limit-warning,80 Percent Limit Warning,revenue,Displays yellow progress bar when approaching plan limits,User hits 80% of any plan quota,System shows yellow warning in navigation,User proactively upgrades before disruption,"Track usage in real-time|Show visual indicators|Create upgrade urgency|Monitor conversions",usage_metering|ui_components|billing_system|analytics,preemptive_upgrade_rate|upgrade_velocity|revenue_per_user
feature-gating-lock,Feature Gating Lock,revenue,Shows locked premium features with lock icons to create upgrade desire,User hovers on premium feature,System displays lock icon with upgrade tooltip,User sees premium value and considers upgrade,"Mark premium features visually|Show upgrade prompts on hover|Track upgrade clicks|A/B test messaging",feature_flags|ui_components|billing_system|analytics,interaction_to_upgrade_rate|upgrade_lift|arpu
enterprise-sso-nudge,Enterprise SSO Nudge,revenue,Detects corporate email domains and suggests SSO for security,Corporate email user logs in with password,System suggests enabling SSO for security,Company considers enterprise upgrade,"Detect corporate domains|Suggest SSO setup|Provide security messaging|Track enterprise leads",domain_detection|auth_system|banner_system|analytics,enterprise_lead_gen|security_adoption|expansion_revenue
bulk-action-upsell,Bulk Action Upsell,revenue,Shows upgrade modal when users try to perform large bulk operations,User selects 10+ items for bulk action,System shows business plan upsell,User upgrades to handle bulk work,"Track selection count|Trigger upsell at threshold|Show efficiency benefits|Track conversions",selection_tracking|modal_system|billing_system|analytics,arpu_lift|business_plan_adoption|efficiency_value
pro-trial-tease,Pro Trial Tease,revenue,Offers low-friction trial when users hover on premium features,User hovers 2+ seconds on pro feature,System shows trial activation popover,User starts trial with low commitment,"Track hover events|Detect high intent|Offer frictionless trial|Track trial starts",event_tracking|trial_system|ui_components|analytics,trial_start_rate|trial_to_paid|high_intent_conversion
overage-preventer,Overage Preventer,revenue,Offers automatic upgrade option when users hit hard limits,User reaches 100% of limit,System offers auto-upgrade toggle,Service continues without interruption,"Detect limit hits|Offer automatic billing|Prevent service disruption|Track expansion",usage_metering|billing_system|modal_system|analytics,expansion_mrr|service_continuity|upgrade_rate
history-limit,History Limit,revenue,Blurs historical data beyond free tier retention period,User scrolls back beyond 30 days,System blurs old data with upgrade prompt,User pays only when accessing old value,"Filter data by date and plan|Apply blur effect|Show upgrade options|Track conversions",database|ui_effects|billing_system|analytics,free_to_paid_conversion|data_retention_value|upgrade_rate
speed-upgrade,Speed Upgrade,revenue,Offers priority processing during slow operations to impatient users,Long-running export or process,System shows speed upgrade option,User pays for faster service,"Detect long operations|Show speed comparison|Offer priority queue|Track conversions",job_queue|billing_system|notification_system|analytics,pro_adoption_rate|speed_tier_revenue|queue_optimization
admin-role-expansion,Admin Role Expansion,revenue,Blocks additional admin assignments on free tier to drive business plan upgrades,User tries to assign second admin role,System blocks action and shows business plan option,Organization upgrades for team management,"Track role assignments|Block at plan limits|Show org upgrade benefits|Track expansion",permissions_system|billing_system|modal_system|analytics,seat_expansion_rate|business_plan_adoption|org_revenue
currency-localizer,Currency Localizer,revenue,Automatically displays pricing in user's local currency based on IP location,User visits pricing page,System switches to local currency,User sees familiar pricing and converts better,"Detect user location|Convert prices to local currency|Handle currency formatting|Track regional conversion",geo_detection|currency_api|pricing_system|analytics,regional_conversion_rate|international_revenue|checkout_rate
soft-gate-tease,Soft Gate Tease,revenue,Allows creation above limits but marks as draft to encourage upgrade,User exceeds creation limit,System allows draft creation with banner,User upgrades to publish rather than being blocked,"Allow over-limit actions as drafts|Show upgrade prompts|Track draft conversion|Measure loss aversion",draft_system|billing_system|banner_system|analytics,upgrade_rate|loss_aversion_effect|draft_to_paid
reverse-trial-downgrade,Reverse Trial Downgrade,revenue,Downgrades users after trial ends and locks features to create loss aversion,Trial period ends on day 14,System downgrades and locks premium features,User upgrades to restore lost features,"Track trial expiration|Downgrade accounts automatically|Lock premium features|Send conversion emails",trial_system|scheduled_jobs|feature_flags|email_service,free_to_paid_conversion|trial_conversion|loss_aversion_rate
gated-metric-rotator,Gated Metric Rotator,revenue,Dynamically gates the most-used features for heavy users to maximize revenue,User in 90th percentile of feature usage,System gates their most-used feature,User upgrades to restore heavy usage,"Analyze usage patterns|Dynamically adjust gates|Personalize restrictions|Track ARPU impact",analytics|ai_optimization|billing_system|feature_flags,arpu_lift|personalized_monetization|usage_revenue
copy-link-interceptor,Copy Link Interceptor,referral,Shows referral incentive in toast when users copy shareable links,User clicks share or copy link,System shows toast with referral bonus offer,User shares link and gets reward,"Listen for copy events|Show referral messaging|Track share attribution|Reward referrers",clipboard_api|referral_system|notification_system|analytics,viral_coefficient|referral_rate|k_factor
zero-empty-state-share,Zero Empty State Share,referral,Prompts team invites when viewing empty team dashboards,User views empty team page,System shows invite prompt,User invites team members to fill space,"Detect empty team state|Show invite CTA|Make invite easy|Track invite conversion",team_management|invite_system|ui_components|analytics,invite_rate|team_adoption|viral_growth
invited-user-welcome,Invited User Welcome,referral,Personalizes landing page for referred users with inviter's name,Referred user lands via invite link,System shows personalized welcome,Invited user converts at higher rate,"Parse invite URL parameters|Personalize welcome messaging|Track referral source|Measure conversion lift",url_parsing|personalization|analytics|ab_testing,invite_conversion_rate|referral_quality|personalized_ctr
power-user-ask,Power User Ask,referral,Invites top users to exclusive ambassador program to drive referrals,User reaches top 5% usage percentile,System offers ambassador program invite,Power users become sales channel,"Calculate usage percentiles|Identify top users|Offer exclusive program|Track referral quality",analytics|ambassador_system|email_service|crm,organic_referral_rate|ambassador_referrals|high_value_users
team-domain-discovery,Team Domain Discovery,referral,Suggests joining existing company team when email domains match,New signup with matching company domain,System prompts to join existing team,Organization consolidates faster into enterprise,"Detect domain matches on signup|Suggest team joining|Track consolidation|Enable easy joining",domain_matching|team_management|auth_system|analytics,account_consolidation_rate|enterprise_velocity|team_adoption
milestone-sharing,Milestone Sharing,referral,Generates shareable achievement graphics when users hit milestones,User crosses usage milestone,System creates shareable social graphic,User shares achievement creating brand awareness,"Define milestone thresholds|Generate social images|Offer easy sharing|Track social reach",milestone_system|image_generator|social_sharing|analytics,brand_impressions|social_shares|viral_reach
watermark-removal,Watermark Removal,referral,Offers to remove branding watermark in exchange for referrals,Free user exports with watermark,System offers watermark removal for referral,User refers to remove branding,"Add watermarks to free exports|Offer removal incentive|Track referral completion|Remove upon success",export_system|referral_system|watermark|analytics,viral_lift|referral_incentive_rate|branding_trade
collaborator-limit-hit,Collaborator Limit Hit,referral,Offers free seats through referrals when seat limit is reached,User tries to add member at limit,System offers free seats for referrals,User grows team through referrals,"Track seat usage|Block at limits|Offer referral alternative|Grant seats on success",seat_management|referral_system|modal_system|analytics,viral_lead_gen|referral_seats|growth_rate
nps-promoter-trigger,NPS Promoter Trigger,referral,Asks satisfied users to leave public reviews on review platforms,User rates 9 or 10 on NPS survey,System requests public review,Company gets high-quality social proof,"Run NPS surveys|Detect promoters|Request platform reviews|Track review completion",survey_system|review_platforms|email_service|analytics,review_volume|review_quality|social_proof_rate
gift-invitation,Gift Invitation,referral,Rewards loyal users with gift subscriptions they can give to friends,User reaches anniversary milestone,System offers gift subscription for friend,Recipient joins through reciprocity,"Track user anniversaries|Generate gift codes|Send gift offers|Track redemption",milestone_system|gift_system|email_service|analytics,new_user_acquisition|gifting_rate|loyalty_reward_value
slack-unfurling,Slack Unfurling,referral,Customizes Slack link previews with inviter's name to increase clicks,Link shared in Slack,System generates personalized preview,Higher click-through from chat apps,"Detect Slack bot requests|Customize OG metadata|Add personal touches|Track CTR from Slack",og_meta|slack_api|personalization|analytics,social_ctr|slack_shares|referral_quality
your-team-is-here,Your Team Is Here,referral,Suggests joining existing company workspace based on email domain,User signs up with company domain,System prompts to join existing workspace,Users consolidate into company account,"Detect domain matches|Show team join prompt|Enable easy onboarding|Track consolidation",domain_matching|team_management|modal_system|analytics,consolidation_rate|enterprise_growth|team_adoption
template-creator,Template Creator,referral,Encourages users to credit template creators on social media,User clones template successfully,System suggests tweeting thanks to creator,Creates viral attribution loop,"Track template usage|Attribute to creators|Suggest social sharing|Monitor viral impact",template_system|social_sharing|attribution|analytics,viral_traffic|template_shares|creator_attribution
partner-co-branding,Partner Co Branding,referral,Replaces product logo with agency logo for white-label partners,Agency sets custom logo in settings,System swaps branding throughout app,Agency retains clients and stays loyal,"Allow logo customization|Swap branding dynamically|Maintain partner relationships|Track retention",white_label_system|asset_management|partner_api|analytics,agency_retention|partner_value|white_label_adoption
broken-flow-fixer,Broken Flow Fixer,retention,Detects repeated errors and proactively offers specific help guides,User encounters recurring error or rage clicks,System shows contextual help guide,User unblocks before churning,"Track error patterns|Detect frustration signals|Offer targeted help|Measure churn prevention",error_tracking|help_system|ui_components|analytics,frustration_churn_reduction|help_effectiveness|resolution_rate
dormant-user-resurrection,Dormant User Resurrection,retention,Sends personalized activity digest to users who haven't logged in recently,User inactive for 7+ days,System sends missed activity email,User returns to check updates,"Schedule daily checks|Identify inactive users|Generate personalized digests|Track reactivation",scheduled_jobs|email_service|personalization|analytics,reactivation_rate|churn_prevention|engagement_recovery
weekly-digest-automator,Weekly Digest Automator,retention,Sends weekly value summary showing time saved and accomplishments,Friday evening every week,System sends week in review email,User sees delivered value and stays engaged,"Aggregate weekly metrics|Calculate value delivered|Send HTML reports|Track engagement",scheduled_jobs|analytics|email_service|reporting,weekly_active_users|engagement_rate|value_perception
streak-saver,Streak Saver,retention,Sends reminder notification when user is about to break usage streak,User has 5-day streak but missed today,System sends streak reminder,User maintains streak through loss aversion,"Track daily usage streaks|Detect missed days|Send reminders|Reward streak maintenance",streak_system|notification_system|gamification|analytics,daily_retention|streak_length|habit_formation
collaboration-nudge,Collaboration Nudge,retention,Reminds solo users that product works better with team collaboration,User project has only 1 member,System shows collaboration benefit tooltip,User invites team and retention improves,"Detect solo usage|Show collaboration benefits|Make invites easy|Track team vs solo retention",team_management|tooltip_system|invite_system|analytics,team_retention_rate|solo_churn_reduction|collaboration_adoption
failed-action-recovery,Failed Action Recovery,retention,Emails users the output when system operations fail to maintain trust,Export or operation fails with error,System emails completed file later,User maintains trust despite error,"Catch operation failures|Queue retry jobs|Send completion emails|Track recovery success",error_handling|job_queue|email_service|analytics,csat|nps|trust_recovery|churn_prevention
stale-data-cleaner,Stale Data Cleaner,retention,Prompts users to archive old inactive projects to maintain workspace health,Project inactive for 6+ months,System suggests archiving old projects,Workspace stays organized and performant,"Detect inactive projects|Send cleanup suggestions|Enable easy archiving|Track workspace health",database|email_service|archival_system|analytics,workspace_health_score|data_hygiene|user_satisfaction
integration-health-check,Integration Health Check,retention,Alerts users when connected integrations stop working,Integration webhook returns auth error,System displays alert banner,Integration resumes and value continues,"Monitor webhook health|Detect auth failures|Alert users immediately|Track resolution",webhook_monitoring|alert_system|integration_api|analytics,silent_churn_reduction|integration_uptime|value_delivery
feature-rediscovery,Feature Rediscovery,retention,Adds new badges to features users haven't tried in 30+ days,Feature unused for 30+ days,System adds new badge to feature,User rediscovers forgotten features,"Track per-feature usage|Identify unused features|Add visual indicators|Measure re-engagement",usage_tracking|ui_badges|feature_flags|analytics,feature_adoption|feature_breadth|engagement_increase
slow-page-detector,Slow Page Detector,retention,Suggests lite mode when detecting slow internet connections,Page load time exceeds 2.5 seconds,System suggests enabling lite mode,User on slow connection stays engaged,"Monitor web vitals|Detect slow connections|Offer performance options|Track bounce reduction",performance_monitoring|lite_mode|notification_system|analytics,bounce_rate_reduction|accessibility|user_satisfaction
error-boundary-feedback,Error Boundary Feedback,retention,Shows friendly crash reporting modal when application errors occur,React error boundary catches crash,System shows crash report modal,User sees company cares about quality,"Implement error boundaries|Show user-friendly messages|Offer easy reporting|Track error rates",error_boundary|crash_reporting|modal_system|analytics,brand_trust|error_recovery|quality_perception
api-deprecation-warning,API Deprecation Warning,retention,Adds warning headers to deprecated API endpoints to prevent breaking changes,Developer calls deprecated API version,System injects deprecation header,Developer migrates before breaking change,"Detect legacy API usage|Add warning headers|Provide migration guides|Track migration success",api_gateway|header_injection|documentation|analytics,migration_rate|breaking_change_prevention|dev_satisfaction
dark-mode-sync,Dark Mode Sync,retention,Suggests dark mode when detecting OS-level dark mode preference,User OS in dark mode but app in light,System suggests switching to dark mode,User appreciates attention to detail,"Detect OS color scheme|Compare to app setting|Suggest mode switch|Track adoption",theme_system|os_detection|ui_components|analytics,brand_affinity|dark_mode_adoption|ux_polish
report-scheduler,Report Scheduler,retention,Suggests scheduling recurring exports after detecting manual repetition,User performs 3rd manual export,System suggests scheduling automation,User automates and becomes locked in,"Track manual export frequency|Detect patterns|Suggest automation|Enable easy scheduling",export_system|scheduler|notification_system|analytics,automation_adoption|retention_lift|feature_stickiness
bookmark-prompt,Bookmark Prompt,retention,Prompts users to pin frequently visited pages to sidebar,User visits page 3+ times per day,System suggests pinning to sidebar,User personalizes workspace for efficiency,"Track page visit frequency|Detect power usage|Suggest customization|Enable easy pinning",analytics|bookmark_system|sidebar|ui_customization,session_frequency|personalization_rate|efficiency_gain
friday-hustle-cheer,Friday Hustle Cheer,retention,Shows encouraging message on Friday evenings to build positive sentiment,Friday after 5pm local time,System displays weekend encouragement,User feels positive brand connection,"Detect day and time|Show cheerful message|Add confetti effect|Track sentiment",time_detection|notification_system|animation|analytics,brand_sentiment|delight_factor|emotional_connection
velvet-rope-beta,Velvet Rope Beta,retention,Invites top users to exclusive beta features to create feedback loop,User in top 10% usage and feature flagged,System offers beta program invitation,Power users feel valued and provide feedback,"Calculate usage percentiles|Manage feature flags|Invite selectively|Track beta engagement",analytics|feature_flags|beta_program|email_service,beta_opt_in_rate|retention_lift|feedback_quality
smart-session-extension,Smart Session Extension,retention,Refreshes authentication before expiration when user is active,Auth token expires in under 5 minutes,System refreshes session automatically,User avoids disruptive forced logout,"Monitor token expiration|Detect user activity|Refresh proactively|Ensure security",auth_system|session_management|activity_tracking|security,session_duration|logout_frustration|ux_continuity
collaborator-awake,Collaborator Awake,retention,Shows real-time presence of teammates working in shared projects,Teammate becomes online in project,System displays teammate activity notification,User stays longer due to social presence,"Implement presence tracking|Show live activity|Update in real-time|Track session impact",presence_system|realtime_database|notification_system|analytics,session_length|collaboration_rate|social_engagement
regional-shift,Regional Shift,retention,Suggests moving database to user's region for better performance,User IP region differs from database region,System suggests regional database migration,User experiences better performance,"Detect user location|Compare to DB region|Suggest migration|Track performance improvement",geo_detection|database_management|banner_system|analytics,retention_rate|performance_gain|regional_satisfaction
webhook-debugger,Webhook Debugger,retention,Offers webhook redelivery option when webhooks fail to aid debugging,Webhook delivery fails,System offers manual redelivery button,Developer debugs faster and stays satisfied,"Log webhook attempts|Detect failures|Offer redelivery|Track debugging success",webhook_system|logging|debugging_tools|ui_components,feature_usage|debugging_speed|dev_satisfaction
branch-preview,Branch Preview,retention,Emails preview links when pull request deployments are ready,Pull request deployment completes,System emails preview URL,Developer reviews faster and stays productive,"Integrate with deployment system|Detect PR deployments|Send preview links|Track review velocity",deployment_hooks|email_service|pr_integration|analytics,review_time|dev_velocity|collaboration_quality
panic-button,Panic Button,retention,Enables DDoS protection mode during traffic spikes to prevent downtime,Traffic spike or attack detected,System enables attack protection mode,Site stays online during attack,"Monitor traffic patterns|Detect anomalies|Enable firewall rules|Alert users",traffic_monitoring|firewall|security_system|notification,uptime|attack_prevention|reliability_score
bottleneck-hunter,Bottleneck Hunter,retention,Highlights funnel drop-off points visually in analytics dashboards,Funnel drop-off exceeds 50%,System highlights problematic steps in red,User identifies and fixes conversion issues,"Aggregate funnel data|Calculate drop-off rates|Visualize problems|Track improvements",analytics|data_visualization|funnel_analysis|ui_components,funnel_conversion|optimization_success|cro_effectiveness
2fa-security-nudge,2FA Security Nudge,retention,Reminds users without two-factor authentication to enable it for security,User logs in without 2FA enabled,System shows 2FA setup reminder,User enables 2FA and account security improves,"Detect 2FA status on login|Show security reminder|Provide setup link|Track adoption",auth_system|security|notification_system|analytics,2fa_adoption_rate|security_posture|account_safety
zombie-admin-detect,Zombie Admin Detect,retention,Alerts account owners about inactive admin users for security,Admin user inactive for 30+ days,System emails owner about inactive admin,Owner revokes access improving security,"Track admin activity|Detect inactivity|Alert owners|Enable role management",user_management|scheduled_jobs|email_service|analytics,security_score|access_hygiene|risk_reduction
