Repository,Stars,Forks,Watchers,Last Commit,Created,Open Issues,Open PRs,Status,Recommendation,Priority,Rationale,Dependencies,Archive Message
omniparser-api,0,0,0,2024-11-26,2025-03-24,0,0,Fork,Archive,PHASE 1,"Self-hosted API fork. Use official implementation.",None,"Self-hosted OmniParser API fork archived. Use official Microsoft OmniParser (https://github.com/microsoft/OmniParser) or OpenAdaptAI/OmniParser fork for maintained implementations."
llama-agentic-system,1,0,0,2024-07-23,2024-07-23,0,0,Fork,Archive,PHASE 1,"Research fork. No changes.",None,"Research fork archived. Refer to upstream Meta repository for active development: https://github.com/meta-llama/llama-agentic-system"
whisper,0,0,0,2024-07-01,2024-07-01,0,0,Fork,Archive,PHASE 1,"OpenAI Whisper fork. No changes.",None,"Fork archived. Use official OpenAI Whisper repository: https://github.com/openai/whisper"
ultralytics,0,0,0,2024-05-30,2024-05-30,0,0,Fork,Archive,PHASE 1,"YOLOv8 fork. No changes.",None,"Fork archived. Use official Ultralytics YOLOv8 repository: https://github.com/ultralytics/ultralytics"
grok-1,0,0,0,2024-03-18,2024-03-18,0,0,Fork,Archive,PHASE 1,"Grok model fork. Reference only.",None,"Fork archived. Refer to xAI's official Grok repository for model access and updates."
Self-Rewarding-Language-Models,0,0,0,2024-03-15,2024-03-15,0,0,Fork,Archive,PHASE 1,"Research fork. No changes.",None,"Research fork archived. See upstream repository for Self-Rewarding Language Models implementation."
Prompt-Engineering-Guide,0,1,0,2024-03-10,2024-03-10,0,0,Fork,Archive,PHASE 1,"Resource fork. No changes.",None,"Fork archived. Use official DAIR.AI Prompt Engineering Guide: https://github.com/dair-ai/Prompt-Engineering-Guide"
prismer,1,0,0,2024-01-17,2024-03-08,0,0,Fork,Archive,PHASE 1,"NVIDIA Prismer fork. No changes.",None,"Research fork archived. Refer to NVIDIA's official Prismer repository for vision-language model implementation."
active-prompt,0,0,0,2023-11-22,2024-03-10,0,0,Fork,Archive,PHASE 1,"Active prompting fork. No changes.",None,"Research fork archived. See original repository for Active Prompting with Chain-of-Thought implementation."
samapi,0,0,0,2023-09-15,2024-01-17,0,0,Fork,Archive,PHASE 1,"Segment Anything API fork.",None,"Segment Anything Model API fork archived. Use official Meta SAM repository: https://github.com/facebookresearch/segment-anything"
R1-V,0,0,0,2025-02-05,2025-02-05,0,0,Fork,Archive,PHASE 1,"VLM research fork.",None,"Research reference fork archived. Refer to original R1-V repository for active development."
Qwen2.5-VL,0,0,0,2025-01-28,2025-01-28,0,0,Fork,Archive,PHASE 1,"Qwen VLM fork. No changes.",None,"Fork archived. Use official Qwen repository: https://github.com/QwenLM/Qwen2.5-VL"
open-r1-multimodal,0,0,0,2025-01-29,2025-01-29,0,0,Fork,Archive,PHASE 1,"Multimodal training fork.",None,"Multimodal training fork archived. Refer to open-r1 upstream repository for active development."
Janus,0,0,0,2025-01-27,2025-01-27,0,0,Fork,Archive,PHASE 1,"DeepSeek Janus fork.",None,"Research fork archived. Use official DeepSeek Janus repository: https://github.com/deepseek-ai/Janus"
UI-TARS-desktop,1,1,0,2025-01-21,2025-01-21,0,0,Fork,Review,"PHASE 3","Desktop application fork with minimal adoption. Evaluate strategic value.",None,"Desktop application fork archived due to limited adoption and maintenance overhead. Core GUI automation functionality integrated into OpenAdapt ecosystem."
CogVLM,2,1,0,2024-03-07,2024-03-02,0,0,Fork,Archive,PHASE 1,"CogVLM research fork.",None,"Fork archived. Use official Tsinghua CogVLM repository: https://github.com/THUDM/CogVLM"
Awesome-LLM-Reasoning,3,1,0,2024-03-08,2024-03-08,0,0,Fork,Archive,PHASE 1,"Resource collection fork.",None,"Resource fork archived. Refer to original curated list for LLM reasoning papers and updates."
