# from REZ et al Acta Cryst.  A50, 481-497 (1994).
# DOI: 10.1107/S0108767393013200
# Table 3 X-ray Scattering Factors valid up to 2 1/A  with q=sin(theta)/lambda
# Correction for Cu from Rez et al Acta Cryst. (1997). A53, 522
#
# our usual Q is  Q=4*pi*q so the valid range is 4*pi*2 = 24  unit 1/A
#
# 4 gaussians fx(s) =sum_j( aj*exp(- bj*q^2).)
# symbol Z a1 b1    a2 b2        a3 b3         a4 b4
Gd 64 25.1591 2.1888 21.0662 .1483 14.0582 12.5610 3.6924 99.2170
Tb 65 26.1301 2.1547 21.1263 .1437 14.6682 12.2899 3.0512 111.7726
Dy 66 26.8408 2.0825 21.1052 .1382 14.9523 11.7814 3.0755 107.9034
Ho 67 27.5569 2.0136 21.0861 .1331 15.2280 11.3052 3.1009 104.1453
Er 68 28.2815 1.9485 21.0719 .1283 15.4941 10.8670 3.1227 100.8027
Tm 69 29.0083 1.8865 21.0624 .1239 15.7519 10.4545 3.1460 97.4986
Yb 70 29.7372 1.8277 21.0586 .1197 16.0018 10.0678 3.1692 94.3403
Lu 71 30.1535 1.7412 15.9083 9.3789 20.9541 .1146 3.9485 80.2529
Hf 72 30.6276 1.6628 15.8438 8.9350 20.8615 .1098 4.6278 68.4901
Ta 73 31.1117 1.5895 15.8592 8.6359 20.7732 .1054 5.2133 59.9094
W 74 31.5764 1.5194 15.9855 8.4277 20.6846 .1011 5.7081 53.5131
Re 75 32.0060 1.4520 16.2421 8.2768 20.5922 .0971 6.1127 48.6201
Os 76 32.3895 1.3864 16.6370 8.1544 20.4917 .0932 6.4338 44.7634
Ir 77 32.7046 1.3211 17.2579 8.0409 20.3732 .0892 6.6160 41.6406
Pt 78 33.0384 1.2529 18.1877 8.0552 20.1682 .0845 6.5607 35.7778
Au 79 20.4657 .0868 19.0318 8.0375 33.0170 1.2144 6.4440 34.2724
Hg 80 20.5235 .0856 33.0365 1.1646 19.7804 7.7629 6.6155 35.7598
TI 81 21.0729 .0903 32.8891 1.1444 21.0487 7.8442 5.9110 45.0760
Pb 82 33.4861 1.0481 21.9052 7.2688 20.0114 .0752 6.5187 47.3250
Bi 83 19.8360 .0718 22.2914 6.7590 33.4300 .9928 7.3714 46.5293
Po 84 25.2534 .1335 21.3651 6.7141 29.3111 1.1521 8.0167 45.9357
At 85 34.3560 .2268 23.2498 1.6437 18.5641 7.0127 8.7901 42.2189
Rn 86 37.9584 .2565 22.4154 1.9675 16.0144 7.2076 9.5697 37.2747
Fr 87 44.7473 .3309 26.8048 3.4800 12.8901 20.8008 2.5239 128.5198
Ra 88 38.4087 .2379 27.6504 2.1955 16.2526 11.9072 5.5831 80.4273
Ac 89 33.5966 .1825 28.1785 1.5549 18.8469 8.2662 8.2096 59.0710
Th 90 28.0936 .1293 29.7756 1.1087 21.3586 6.2033 10.5524 47.6686
Pa 91 29.6569 .1379 29.3781 1.1586 21.7312 6.6084 9.9984 45.4293
U 92 31.1742 .1454 28.9718 1.2121 21.9075 6.8891 9.7265 45.5549

