product,org:group,resource country,case:concept:name,impact,concept:name,org:resource,organization involved,lifecycle:transition,org:role,organization country,time:timestamp
PROD542,V37 2nd,Netherlands,1-544976636,Medium,Completed,Juan,Org line V7n,Resolved,UNKNOWN,nl,2012-05-04 07:38:06+00:00
PROD542,V37 2nd,0,1-544976636,Medium,Completed,Siebel,Org line V7n,Closed,UNKNOWN,nl,2012-05-11 23:21:27+00:00
PROD542,D8,POLAND,1-635268712,Medium,Accepted,Adam,Org line A2,In Progress,A2_1,nl,2012-01-05 10:37:41+00:00
PROD542,D8,POLAND,1-635268712,Medium,Accepted,Adam,Org line A2,In Progress,A2_1,nl,2012-01-05 10:39:53+00:00
PROD542,V37 2nd,POLAND,1-635268712,Medium,Queued,Adam,Org line V7n,Awaiting Assignment,UNKNOWN,nl,2012-01-05 10:47:14+00:00
PROD542,V37 2nd,Netherlands,1-635268712,Medium,Accepted,Tsun Fai,Org line V7n,In Progress,UNKNOWN,nl,2012-01-09 13:22:56+00:00
PROD542,D8,Netherlands,1-635268712,Medium,Queued,Tsun Fai,Org line A2,Awaiting Assignment,A2_1,nl,2012-01-09 13:25:36+00:00
PROD542,V37 2nd,Netherlands,1-635268712,Medium,Accepted,Tsun Fai,Org line V7n,In Progress,UNKNOWN,nl,2012-01-09 13:31:50+00:00
PROD542,V37 2nd,Netherlands,1-635268712,Medium,Queued,Tsun Fai,Org line V7n,Awaiting Assignment,UNKNOWN,nl,2012-01-09 13:32:02+00:00
PROD542,V37 2nd,Netherlands,1-635268712,Medium,Accepted,Tsun Fai,Org line V7n,In Progress,UNKNOWN,nl,2012-01-09 13:32:05+00:00
PROD542,D8,Netherlands,1-635268712,Medium,Queued,Tsun Fai,Org line A2,Awaiting Assignment,A2_1,nl,2012-01-09 13:32:14+00:00
PROD542,D8,POLAND,1-635268712,Medium,Accepted,Pawel,Org line A2,In Progress,A2_1,nl,2012-01-09 14:49:08+00:00
PROD542,D8,POLAND,1-635268712,Medium,Accepted,Pawel,Org line A2,Assigned,A2_1,nl,2012-01-09 14:49:18+00:00
PROD542,D8,POLAND,1-635268712,Medium,Accepted,Adam,Org line A2,In Progress,A2_1,nl,2012-01-10 06:28:03+00:00
PROD542,V32 2nd,POLAND,1-635268712,Medium,Queued,Adam,Org line V7n,Awaiting Assignment,UNKNOWN,nl,2012-01-10 06:33:55+00:00
PROD542,V32 2nd,Netherlands,1-635268712,Medium,Accepted,Earl,Org line V7n,In Progress,UNKNOWN,nl,2012-03-21 09:27:48+00:00
PROD542,V37 2nd,Netherlands,1-635268712,Medium,Queued,Earl,Org line V7n,Awaiting Assignment,UNKNOWN,nl,2012-03-21 09:50:55+00:00
PROD542,V37 2nd,Netherlands,1-635268712,Medium,Accepted,Juan,Org line V7n,In Progress,UNKNOWN,nl,2012-03-21 12:45:14+00:00
PROD542,V32 2nd,Netherlands,1-635268712,Medium,Queued,Juan,Org line V7n,Awaiting Assignment,UNKNOWN,nl,2012-03-21 12:45:52+00:00
PROD542,V32 2nd,Netherlands,1-635268712,Medium,Accepted,Earl,Org line V7n,In Progress,UNKNOWN,nl,2012-03-21 12:55:30+00:00
PROD542,V32 2nd,Netherlands,1-635268712,Medium,Accepted,Earl,Org line V7n,Wait,UNKNOWN,nl,2012-03-21 12:55:34+00:00
PROD542,V32 2nd,Netherlands,1-635268712,Medium,Accepted,Juan,Org line V7n,In Progress,UNKNOWN,nl,2012-03-21 13:07:30+00:00
PROD542,V32 2nd,Netherlands,1-635268712,Medium,Accepted,Juan,Org line V7n,Wait,UNKNOWN,nl,2012-03-21 13:07:39+00:00
PROD542,V37 2nd,Netherlands,1-635268712,Medium,Accepted,Juan,Org line V7n,In Progress,UNKNOWN,nl,2012-04-17 13:37:56+00:00
PROD542,V32 2nd,Netherlands,1-635268712,Medium,Queued,Danny,Org line V7n,Awaiting Assignment,UNKNOWN,nl,2012-04-17 15:29:20+00:00
PROD542,V37 2nd,Netherlands,1-635268712,Medium,Accepted,Juan,Org line V7n,In Progress,UNKNOWN,nl,2012-05-04 10:28:23+00:00
PROD542,V37 2nd,Netherlands,1-635268712,Medium,Completed,Juan,Org line V7n,Resolved,UNKNOWN,nl,2012-05-04 11:16:12+00:00
PROD542,V37 2nd,0,1-635268712,Medium,Completed,Siebel,Org line V7n,Closed,UNKNOWN,nl,2012-05-11 23:21:16+00:00
PROD388,G97,POLAND,1-686885675,Low,Accepted,Urszula,Org line C,In Progress,V3_2,se,2012-02-23 08:41:42+00:00
PROD388,G97,POLAND,1-686885675,Low,Accepted,Urszula,Org line C,In Progress,V3_2,se,2012-02-23 08:43:06+00:00
PROD388,N8 2nd,POLAND,1-686885675,Low,Queued,Urszula,Org line A2,Awaiting Assignment,A2_4,se,2012-02-23 08:46:57+00:00
PROD388,N8 2nd,Sweden,1-686885675,Low,Accepted,Daniel,Org line A2,In Progress,A2_4,se,2012-02-23 13:22:29+00:00
PROD388,N8 2nd,Sweden,1-686885675,Low,Completed,Daniel,Org line A2,Resolved,A2_4,se,2012-05-02 13:19:21+00:00
PROD388,N8 2nd,0,1-686885675,Low,Completed,Siebel,Org line A2,Closed,A2_4,se,2012-05-09 23:20:26+00:00
PROD215,G97,POLAND,1-705901284,Low,Accepted,Izabela,Org line C,In Progress,V3_2,pl,2012-03-30 10:50:26+00:00
PROD215,G97,POLAND,1-705901284,Low,Accepted,Izabela,Org line C,In Progress,V3_2,pl,2012-03-30 10:50:35+00:00
PROD215,G97,POLAND,1-705901284,Low,Queued,Izabela,Org line C,Awaiting Assignment,V3_2,pl,2012-03-30 10:54:47+00:00
PROD215,G97,POLAND,1-705901284,Low,Accepted,Magdalena,Org line C,In Progress,V3_2,pl,2012-03-30 10:58:21+00:00
PROD215,G97,POLAND,1-705901284,Low,Queued,Magdalena,Org line C,Awaiting Assignment,V3_2,pl,2012-03-30 10:58:43+00:00
PROD215,G97,POLAND,1-705901284,Low,Accepted,Magdalena,Org line C,In Progress,V3_2,pl,2012-03-30 11:00:03+00:00
PROD215,L23 3rd,POLAND,1-705901284,Low,Queued,Magdalena,Org line A2,Awaiting Assignment,A2_4,pl,2012-03-30 11:00:21+00:00
PROD215,L23 3rd,USA,1-705901284,Low,Accepted,Fredrik,Org line A2,In Progress,A2_4,pl,2012-03-30 13:33:16+00:00
PROD215,L23 3rd,USA,1-705901284,Low,Accepted,Fredrik,Org line A2,Assigned,A2_4,pl,2012-03-30 13:33:29+00:00
PROD215,L23 3rd,INDIA,1-705901284,Low,Accepted,Pramod,Org line A2,In Progress,A2_4,pl,2012-04-02 07:27:05+00:00
PROD215,L23 3rd,INDIA,1-705901284,Low,Accepted,Pramod,Org line A2,Wait - User,A2_4,pl,2012-04-02 07:27:13+00:00
PROD215,G97,INDIA,1-705901284,Low,Queued,Pramod,Org line C,Awaiting Assignment,V3_2,pl,2012-04-03 11:51:00+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Sudhakar Moses,Org line C,In Progress,V3_2,pl,2012-04-04 04:23:27+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Sudhakar Moses,Org line C,Wait,V3_2,pl,2012-04-04 04:23:34+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Jisha,Org line C,In Progress,V3_2,pl,2012-04-05 05:20:22+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Jisha,Org line C,Wait - User,V3_2,pl,2012-04-05 05:20:38+00:00
PROD215,S13 3rd,INDIA,1-705901284,Low,Queued,Jisha,Org line B,Awaiting Assignment,C_6,pl,2012-04-18 04:22:08+00:00
PROD215,S13 3rd,INDIA,1-705901284,Low,Queued,Jisha,Org line B,Awaiting Assignment,C_6,pl,2012-04-18 04:22:09+00:00
PROD215,S13 3rd,INDIA,1-705901284,Low,Accepted,Ganesh,Org line B,In Progress,C_6,pl,2012-04-18 10:21:54+00:00
PROD215,G97,INDIA,1-705901284,Low,Queued,Ganesh,Org line C,Awaiting Assignment,V3_2,pl,2012-04-18 10:27:09+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Muthu,Org line C,In Progress,V3_2,pl,2012-04-19 09:06:30+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Muthu,Org line C,Wait - Implementation,V3_2,pl,2012-04-19 09:12:40+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Muthu,Org line C,In Progress,V3_2,pl,2012-04-30 12:55:04+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Muthu,Org line C,Wait - User,V3_2,pl,2012-04-30 13:10:49+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Muthu,Org line C,In Progress,V3_2,pl,2012-05-03 08:55:49+00:00
PROD215,G40,INDIA,1-705901284,Low,Queued,Muthu,Org line A2,Awaiting Assignment,A2_2,pl,2012-05-03 08:56:26+00:00
PROD215,G40,Sweden,1-705901284,Low,Accepted,Manikandan,Org line A2,In Progress,A2_2,pl,2012-05-03 09:31:38+00:00
PROD215,G97,Sweden,1-705901284,Low,Queued,Manikandan,Org line C,Awaiting Assignment,V3_2,pl,2012-05-03 10:41:20+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Muthu,Org line C,In Progress,V3_2,pl,2012-05-03 11:01:04+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Muthu,Org line C,Wait - User,V3_2,pl,2012-05-03 11:04:14+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Muthu,Org line C,In Progress,V3_2,pl,2012-05-07 06:47:38+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Muthu,Org line C,Wait - User,V3_2,pl,2012-05-07 06:49:13+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Muthu,Org line C,In Progress,V3_2,pl,2012-05-08 07:26:03+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Muthu,Org line C,Wait - User,V3_2,pl,2012-05-08 07:38:08+00:00
PROD215,G97,INDIA,1-705901284,Low,Accepted,Muthu,Org line C,In Progress,V3_2,pl,2012-05-08 11:56:39+00:00
PROD215,G97,INDIA,1-705901284,Low,Completed,Muthu,Org line C,Resolved,V3_2,pl,2012-05-08 12:02:11+00:00
PROD215,G97,0,1-705901284,Low,Completed,Siebel,Org line C,Closed,V3_2,pl,2012-05-15 23:22:16+00:00
PROD805,G96,INDIA,1-705937016,Low,Accepted,Shylaja,Org line C,In Progress,V3_2,pl,2012-03-30 11:36:01+00:00
PROD805,G96,INDIA,1-705937016,Low,Accepted,Shylaja,Org line C,In Progress,V3_2,pl,2012-03-30 11:59:36+00:00
PROD805,G96,INDIA,1-705937016,Low,Accepted,Shylaja,Org line C,Wait - Implementation,V3_2,pl,2012-03-30 12:03:46+00:00
PROD805,G96,INDIA,1-705937016,Low,Accepted,Shylaja,Org line C,In Progress,V3_2,pl,2012-05-01 03:56:33+00:00
PROD805,G96,INDIA,1-705937016,Low,Accepted,Shylaja,Org line C,Wait - User,V3_2,pl,2012-05-01 03:59:14+00:00
PROD805,G96,INDIA,1-705937016,Low,Accepted,Muthu,Org line C,In Progress,V3_2,pl,2012-05-07 08:30:24+00:00
PROD805,G96,INDIA,1-705937016,Low,Accepted,Muthu,Org line C,Wait,V3_2,pl,2012-05-07 08:32:12+00:00
PROD805,G96,INDIA,1-705937016,Low,Accepted,Muthu,Org line C,In Progress,V3_2,pl,2012-05-07 08:41:58+00:00
PROD805,G96,INDIA,1-705937016,Low,Completed,Muthu,Org line C,Resolved,V3_2,pl,2012-05-07 08:57:26+00:00
PROD805,G96,INDIA,1-705937016,Low,Completed,Muthu,Org line C,Closed,V3_2,pl,2012-05-07 08:58:38+00:00
PROD379,G76,Sweden,1-706844801,Medium,Accepted,Niklas,Org line C,In Progress,E_5,fr,2012-04-02 07:27:09+00:00
PROD379,G76,Sweden,1-706844801,Medium,Accepted,Niklas,Org line C,In Progress,E_5,fr,2012-04-02 07:27:28+00:00
PROD379,W11 2nd,Sweden,1-706844801,Medium,Queued,Niklas,Org line C,Awaiting Assignment,E_6,fr,2012-04-02 07:39:06+00:00
PROD379,W11 2nd,France,1-706844801,Medium,Accepted,Franck,Org line C,In Progress,E_6,fr,2012-05-14 09:02:28+00:00
PROD379,W11 2nd,France,1-706844801,Medium,Completed,Franck,Org line C,Resolved,E_6,fr,2012-05-14 09:07:17+00:00
PROD379,W11 2nd,0,1-706844801,Medium,Completed,Siebel,Org line C,Closed,E_6,fr,2012-05-21 23:24:51+00:00
PROD256,G96,China,1-715404545,Low,Accepted,Kelly,Org line C,In Progress,V3_2,cn,2012-04-10 07:21:41+00:00
PROD256,G96,China,1-715404545,Low,Accepted,Kelly,Org line C,In Progress,V3_2,cn,2012-04-10 07:34:16+00:00
PROD256,G96,China,1-715404545,Low,Queued,Kelly,Org line C,Awaiting Assignment,V3_2,cn,2012-04-10 07:36:16+00:00
PROD256,S55,China,1-715404545,Low,Queued,Kelly,Org line C,Awaiting Assignment,V3_2,cn,2012-04-10 07:36:17+00:00
PROD256,S55,China,1-715404545,Low,Accepted,Joyce,Org line C,In Progress,V3_2,cn,2012-04-10 07:38:37+00:00
PROD256,S55,China,1-715404545,Low,Accepted,Joyce,Org line C,Assigned,V3_2,cn,2012-04-10 07:38:57+00:00
PROD256,S55,China,1-715404545,Low,Accepted,Neo,Org line C,In Progress,V3_2,cn,2012-04-10 07:45:18+00:00
PROD256,S55,China,1-715404545,Low,Accepted,Neo,Org line C,Wait - User,V3_2,cn,2012-04-10 08:03:51+00:00
PROD256,S55,China,1-715404545,Low,Accepted,Neo,Org line C,Assigned,V3_2,cn,2012-05-04 08:49:23+00:00
PROD256,S55,China,1-715404545,Low,Accepted,Kimi,Org line C,In Progress,V3_2,cn,2012-05-04 08:53:54+00:00
PROD256,S55,China,1-715404545,Low,Completed,Kimi,Org line C,Resolved,V3_2,cn,2012-05-04 08:55:12+00:00
PROD256,S55,0,1-715404545,Low,Completed,Siebel,Org line C,Closed,V3_2,cn,2012-05-11 23:20:31+00:00
PROD542,D1,China,1-716234358,High,Accepted,Abby,Org line B,In Progress,A2_1,cn,2012-04-11 09:28:12+00:00
PROD542,D1,China,1-716234358,High,Accepted,Abby,Org line B,In Progress,A2_1,cn,2012-04-11 09:29:23+00:00
PROD542,V37 2nd,China,1-716234358,High,Queued,Abby,Org line V7n,Awaiting Assignment,UNKNOWN,cn,2012-04-11 09:31:39+00:00
PROD542,V37 2nd,Netherlands,1-716234358,High,Accepted,Danny,Org line V7n,In Progress,UNKNOWN,cn,2012-04-11 09:49:50+00:00
PROD542,D1,Netherlands,1-716234358,High,Queued,Danny,Org line B,Awaiting Assignment,A2_1,cn,2012-04-11 10:21:08+00:00
PROD542,D1,China,1-716234358,High,Accepted,Abby,Org line B,In Progress,A2_1,cn,2012-04-12 02:24:45+00:00
PROD542,D1,China,1-716234358,High,Accepted,Abby,Org line B,Wait - User,A2_1,cn,2012-04-12 02:24:55+00:00
PROD542,D1,0,1-716234358,High,Accepted,Siebel,Org line B,Wait - User,A2_1,cn,2012-04-12 10:46:07+00:00
PROD542,D1,China,1-716234358,High,Completed,Abby,Org line B,Resolved,A2_1,cn,2012-05-01 06:57:21+00:00
PROD542,D1,0,1-716234358,High,Completed,Siebel,Org line B,Closed,A2_1,cn,2012-05-01 23:17:37+00:00
PROD45,D8,POLAND,1-722242703,Medium,Accepted,Pawel,Org line A2,In Progress,A2_1,pl,2012-04-18 11:24:31+00:00
PROD45,D8,POLAND,1-722242703,Medium,Accepted,Pawel,Org line A2,In Progress,A2_1,pl,2012-04-18 11:27:38+00:00
PROD45,D8,POLAND,1-722242703,Medium,Accepted,Pawel,Org line A2,Wait - User,A2_1,pl,2012-04-18 11:54:37+00:00
PROD45,D8,0,1-722242703,Medium,Accepted,Siebel,Org line A2,Wait - User,A2_1,pl,2012-04-21 11:36:07+00:00
PROD45,D9,POLAND,1-722242703,Medium,Queued,Pawel,Org line A2,Awaiting Assignment,A2_1,pl,2012-05-14 10:17:56+00:00
PROD45,D9,POLAND,1-722242703,Medium,Accepted,Pawel,Org line A2,In Progress,A2_1,pl,2012-05-14 10:17:58+00:00
PROD45,D9,POLAND,1-722242703,Medium,Completed,Pawel,Org line A2,Resolved,A2_1,pl,2012-05-14 10:18:26+00:00
PROD45,D9,POLAND,1-722242703,Medium,Completed,Pawel,Org line A2,Closed,A2_1,pl,2012-05-14 10:18:38+00:00
PROD455,M23,Sweden,1-722386268,Medium,Accepted,Andreas,Org line C,In Progress,V3_2,se,2012-04-19 06:40:58+00:00
PROD455,M23,Sweden,1-722386268,Medium,Accepted,Andreas,Org line C,In Progress,V3_2,se,2012-04-19 06:41:31+00:00
PROD455,M23,Sweden,1-722386268,Medium,Accepted,Andreas,Org line C,Wait - Vendor,V3_2,se,2012-04-19 06:42:34+00:00
PROD455,M23,Sweden,1-722386268,Medium,Accepted,Andreas,Org line C,Wait - User,V3_2,se,2012-05-02 11:31:25+00:00
PROD455,M23,Sweden,1-722386268,Medium,Completed,Andreas,Org line C,Resolved,V3_2,se,2012-05-03 08:00:04+00:00
PROD455,M23,0,1-722386268,Medium,Completed,Siebel,Org line C,Closed,V3_2,se,2012-05-10 23:24:26+00:00
PROD267,S36,Sweden,1-726712611,Medium,Accepted,Andrés,Org line C,In Progress,V3_2,se,2012-04-19 10:40:21+00:00
PROD267,S36,Sweden,1-726712611,Medium,Accepted,Andrés,Org line C,In Progress,V3_2,se,2012-04-19 10:40:38+00:00
PROD267,R3 2nd,Sweden,1-726712611,Medium,Queued,Andrés,Org line C,Awaiting Assignment,E_10,se,2012-04-19 10:45:06+00:00
PROD267,R3 2nd,Sweden,1-726712611,Medium,Accepted,Tina,Org line C,In Progress,E_10,se,2012-04-19 11:27:40+00:00
PROD267,M17,Sweden,1-726712611,Medium,Queued,Tina,Org line C,Awaiting Assignment,V3_2,se,2012-04-19 11:34:11+00:00
PROD267,M17,Sweden,1-726712611,Medium,Accepted,Andreas,Org line C,In Progress,V3_2,se,2012-04-24 14:50:07+00:00
PROD267,M17,Sweden,1-726712611,Medium,Queued,Andreas,Org line C,Awaiting Assignment,V3_2,se,2012-04-30 10:13:51+00:00
PROD267,M17,Sweden,1-726712611,Medium,Accepted,Kave,Org line C,In Progress,V3_2,se,2012-04-30 10:21:49+00:00
PROD267,M17,Sweden,1-726712611,Medium,Accepted,Kave,Org line C,Wait - Implementation,V3_2,se,2012-05-02 15:12:39+00:00
PROD267,M17,Sweden,1-726712611,Medium,Completed,Kave,Org line C,Resolved,V3_2,se,2012-05-04 09:21:14+00:00
PROD267,M17,0,1-726712611,Medium,Completed,Siebel,Org line C,Closed,V3_2,se,2012-05-04 23:16:35+00:00
PROD544,S42,Sweden,1-726844205,Medium,Accepted,Joel,Org line C,In Progress,V3_2,se,2012-04-19 12:26:21+00:00
PROD544,S42,Sweden,1-726844205,Medium,Accepted,Joel,Org line C,In Progress,V3_2,se,2012-04-19 12:28:35+00:00
PROD544,G146 2nd,Sweden,1-726844205,Medium,Queued,Joel,Org line C,Awaiting Assignment,E_10,se,2012-04-19 12:38:45+00:00
PROD544,G146 2nd,Sweden,1-726844205,Medium,Accepted,Tina,Org line C,In Progress,E_10,se,2012-04-19 13:06:45+00:00
PROD544,G146 2nd,Sweden,1-726844205,Medium,Accepted,Tina,Org line C,Wait - User,E_10,se,2012-04-19 13:20:09+00:00
PROD544,G146 2nd,Sweden,1-726844205,Medium,Completed,Tina,Org line C,Resolved,E_10,se,2012-05-02 07:08:08+00:00
PROD544,G146 2nd,0,1-726844205,Medium,Completed,Siebel,Org line C,Closed,E_10,se,2012-05-09 23:18:52+00:00
PROD268,S37,Sweden,1-728480859,Medium,Accepted,Frank,Org line C,In Progress,V3_2,se,2012-04-20 11:30:58+00:00
PROD268,S37,Sweden,1-728480859,Medium,Accepted,Frank,Org line C,In Progress,V3_2,se,2012-04-20 11:32:58+00:00
PROD268,S41,Sweden,1-728480859,Medium,Queued,Frank,Org line C,Awaiting Assignment,V3_2,se,2012-04-20 11:34:16+00:00
PROD268,S41,Sweden,1-728480859,Medium,Accepted,Lars-Erik,Org line C,In Progress,V3_2,se,2012-04-20 11:38:20+00:00
PROD268,S41,Sweden,1-728480859,Medium,Accepted,Lars-Erik,Org line C,Wait - User,V3_2,se,2012-04-20 12:17:01+00:00
PROD268,S41,Sweden,1-728480859,Medium,Completed,Lars-Erik,Org line C,Resolved,V3_2,se,2012-05-02 07:30:07+00:00
PROD268,S41,0,1-728480859,Medium,Completed,Siebel,Org line C,Closed,V3_2,se,2012-05-02 23:17:25+00:00
PROD660,S56,Sweden,1-729463781,Medium,Queued,Staffan,Other,Awaiting Assignment,UNKNOWN,se,2012-05-03 05:41:25+00:00
PROD660,S56,Sweden,1-729463781,Medium,Accepted,Fredrik,Other,In Progress,UNKNOWN,se,2012-05-03 06:02:27+00:00
PROD660,S56,Sweden,1-729463781,Medium,Completed,Fredrik,Other,Resolved,UNKNOWN,se,2012-05-03 06:10:09+00:00
PROD660,S56,0,1-729463781,Medium,Completed,Siebel,Other,Closed,UNKNOWN,se,2012-05-10 23:19:40+00:00
PROD365,G96,INDIA,1-729802236,Low,Accepted,Vandana,Org line C,In Progress,V3_2,pl,2012-04-23 13:47:56+00:00
PROD365,G96,INDIA,1-729802236,Low,Accepted,Vandana,Org line C,In Progress,V3_2,pl,2012-04-23 13:51:01+00:00
PROD365,G96,INDIA,1-729802236,Low,Accepted,Vandana,Org line C,Wait - User,V3_2,pl,2012-04-23 14:06:50+00:00
PROD365,G96,POLAND,1-729802236,Low,Accepted,Joanna,Org line C,In Progress,V3_2,pl,2012-04-24 08:51:10+00:00
PROD365,G96,POLAND,1-729802236,Low,Accepted,Joanna,Org line C,In Progress,V3_2,pl,2012-04-24 09:17:51+00:00
PROD365,G97,POLAND,1-729802236,Low,Queued,Joanna,Org line C,Awaiting Assignment,V3_2,pl,2012-04-24 09:18:04+00:00
PROD365,G97,POLAND,1-729802236,Low,Accepted,Marika,Org line C,In Progress,V3_2,pl,2012-04-27 12:20:08+00:00
PROD365,G97,POLAND,1-729802236,Low,Accepted,Marika,Org line C,Assigned,V3_2,pl,2012-04-27 12:20:17+00:00
PROD365,G97,POLAND,1-729802236,Low,Accepted,Tomasz,Org line C,In Progress,V3_2,pl,2012-04-27 13:12:48+00:00
PROD365,G97,POLAND,1-729802236,Low,Accepted,Tomasz,Org line C,Wait - User,V3_2,pl,2012-04-27 13:24:47+00:00
PROD365,G97,POLAND,1-729802236,Low,Completed,Tomasz,Org line C,Resolved,V3_2,pl,2012-05-02 13:29:42+00:00
PROD365,G97,0,1-729802236,Low,Completed,Siebel,Org line C,Closed,V3_2,pl,2012-05-09 23:18:28+00:00
PROD321,G96,Brazil,1-729913690,Low,Accepted,Marcos,Org line C,In Progress,V3_2,pl,2012-04-23 16:11:16+00:00
PROD321,G96,Brazil,1-729913690,Low,Accepted,Marcos,Org line C,In Progress,V3_2,pl,2012-04-23 16:14:52+00:00
PROD321,L4 2nd,Brazil,1-729913690,Low,Queued,Marcos,Org line A2,Awaiting Assignment,A2_2,pl,2012-04-23 16:16:17+00:00
PROD321,L4 2nd,POLAND,1-729913690,Low,Accepted,Michal,Org line A2,In Progress,A2_2,pl,2012-04-25 10:20:26+00:00
PROD321,G97,POLAND,1-729913690,Low,Queued,Michal,Org line C,Awaiting Assignment,V3_2,pl,2012-04-30 15:23:18+00:00
PROD321,G97,Brazil,1-729913690,Low,Accepted,Eduardo,Org line C,In Progress,V3_2,pl,2012-04-30 20:39:59+00:00
PROD321,G97,Brazil,1-729913690,Low,Accepted,Eduardo,Org line C,Assigned,V3_2,pl,2012-04-30 20:43:13+00:00
PROD321,G97,Brazil,1-729913690,Low,Accepted,Andre,Org line C,In Progress,V3_2,pl,2012-04-30 20:49:49+00:00
PROD321,G97,Brazil,1-729913690,Low,Accepted,Andre,Org line C,Wait,V3_2,pl,2012-04-30 20:49:58+00:00
PROD321,G97,Brazil,1-729913690,Low,Accepted,Andre,Org line C,Wait - User,V3_2,pl,2012-05-01 14:13:49+00:00
PROD321,G97,Brazil,1-729913690,Low,Completed,Andre,Org line C,Resolved,V3_2,pl,2012-05-01 21:02:19+00:00
PROD321,G97,0,1-729913690,Low,Completed,Siebel,Org line C,Closed,V3_2,pl,2012-05-08 23:14:45+00:00
PROD710,S37,Sweden,1-730084493,Low,Accepted,Victor,Org line C,In Progress,V3_2,se,2012-04-23 22:08:39+00:00
PROD710,S37,Sweden,1-730084493,Low,Accepted,Victor,Org line C,In Progress,V3_2,se,2012-04-23 22:09:23+00:00
PROD710,G49,Sweden,1-730084493,Low,Queued,Victor,Org line C,Awaiting Assignment,V3_2,se,2012-04-23 22:14:27+00:00
PROD710,G49,Sweden,1-730084493,Low,Accepted,Dennis,Org line C,In Progress,V3_2,se,2012-04-23 22:17:15+00:00
PROD710,G49,Sweden,1-730084493,Low,Accepted,Dennis,Org line C,In Progress,V3_2,se,2012-04-23 22:18:08+00:00
PROD710,G49,Sweden,1-730084493,Low,Accepted,Dennis,Org line C,Wait - User,V3_2,se,2012-04-23 22:39:19+00:00
PROD710,G49,Sweden,1-730084493,Low,Accepted,Dennis,Org line C,Wait - User,V3_2,se,2012-04-24 04:42:41+00:00
PROD710,G49,Sweden,1-730084493,Low,Accepted,Anna,Org line C,In Progress,V3_2,se,2012-05-02 10:55:40+00:00
PROD710,G49,Sweden,1-730084493,Low,Completed,Anna,Org line C,Resolved,V3_2,se,2012-05-02 10:57:08+00:00
PROD710,G49,0,1-730084493,Low,Completed,Siebel,Org line C,Closed,V3_2,se,2012-05-09 23:18:23+00:00
PROD754,S37,Sweden,1-730641578,Low,Accepted,Frank,Org line C,In Progress,V3_2,pl,2012-04-24 09:49:24+00:00
PROD754,S37,Sweden,1-730641578,Low,Accepted,Frank,Org line C,In Progress,V3_2,pl,2012-04-24 09:57:05+00:00
