case:concept:name,concept:name,time:timestamp,human_resource,org:role,client,lifecycle:transition,concept:instance
Case 1223,Take in charge ticket,2010-01-27 14:28:58,Value 2,Value 1,Value 92,complete,i_17
Case 1223,Resolve ticket,2010-02-08 11:54:13,Value 2,Value 1,Value 92,start,i_18
Case 1223,Resolve ticket,2010-02-08 11:54:13,Value 2,Value 1,Value 92,complete,i_18
Case 1223,Closed,2010-03-11 11:40:48,Value 5,Value 1,Value 92,start,i_19
Case 1223,Closed,2010-03-11 11:40:48,Value 5,Value 1,Value 92,complete,i_19
Case 1238,Assign seriousness,2013-04-02 16:07:02,Value 2,Value 1,Value 273,start,i_20
Case 1238,Assign seriousness,2013-04-02 16:07:02,Value 2,Value 1,Value 273,complete,i_20
Case 1238,Take in charge ticket,2013-04-04 13:19:03,Value 2,Value 1,Value 273,start,i_21
Case 1238,Take in charge ticket,2013-04-04 13:19:03,Value 2,Value 1,Value 273,complete,i_21
Case 1238,Wait,2013-04-05 14:15:41,Value 9,Value 1,Value 273,start,i_22
Case 1238,Wait,2013-04-05 14:15:41,Value 9,Value 1,Value 273,complete,i_22
Case 1238,Require upgrade,2013-04-10 07:51:04,Value 9,Value 1,Value 273,start,i_23
Case 1238,Require upgrade,2013-04-10 07:51:04,Value 9,Value 1,Value 273,complete,i_23
Case 1238,Resolve ticket,2013-04-18 12:34:46,Value 9,Value 1,Value 273,start,i_24
Case 1238,Resolve ticket,2013-04-18 12:34:46,Value 9,Value 1,Value 273,complete,i_24
Case 1238,Closed,2013-05-03 12:35:00,Value 3,Value 1,Value 273,start,i_25
Case 1238,Closed,2013-05-03 12:35:00,Value 3,Value 1,Value 273,complete,i_25
Case 1243,Assign seriousness,2011-04-28 13:14:17,Value 8,Value 1,Value 36,start,i_26
Case 1243,Assign seriousness,2011-04-28 13:14:17,Value 8,Value 1,Value 36,complete,i_26
Case 1243,Take in charge ticket,2011-04-28 13:15:05,Value 8,Value 1,Value 36,start,i_27
Case 1243,Take in charge ticket,2011-04-28 13:15:05,Value 8,Value 1,Value 36,complete,i_27
Case 1243,Resolve ticket,2011-05-10 15:22:45,Value 2,Value 1,Value 36,start,i_28
Case 1243,Resolve ticket,2011-05-10 15:22:45,Value 2,Value 1,Value 36,complete,i_28
Case 1243,Closed,2011-05-31 13:20:33,Value 5,Value 1,Value 36,start,i_29
Case 1243,Closed,2011-05-31 13:20:33,Value 5,Value 1,Value 36,complete,i_29
Case 136,Assign seriousness,2012-06-06 14:48:56,Value 4,Value 1,Value 16,start,i_30
Case 136,Assign seriousness,2012-06-06 14:48:56,Value 4,Value 1,Value 16,complete,i_30
Case 136,Take in charge ticket,2012-06-07 12:19:44,Value 9,Value 1,Value 16,start,i_31
Case 136,Take in charge ticket,2012-06-07 12:19:44,Value 9,Value 1,Value 16,complete,i_31
Case 136,Resolve ticket,2012-06-08 07:13:29,Value 9,Value 1,Value 16,start,i_32
Case 136,Resolve ticket,2012-06-08 07:13:29,Value 9,Value 1,Value 16,complete,i_32
Case 136,Closed,2012-07-07 14:50:30,Value 5,Value 1,Value 16,start,i_33
Case 136,Closed,2012-07-07 14:50:30,Value 5,Value 1,Value 16,complete,i_33
Case 1413,Assign seriousness,2011-05-30 07:07:28,Value 8,Value 2,Value 92,start,i_34
Case 1413,Assign seriousness,2011-05-30 07:07:28,Value 8,Value 2,Value 92,complete,i_34
Case 1413,Take in charge ticket,2011-05-30 07:08:04,Value 8,Value 2,Value 92,start,i_35
Case 1413,Take in charge ticket,2011-05-30 07:08:04,Value 8,Value 2,Value 92,complete,i_35
Case 1413,Take in charge ticket,2011-05-30 07:10:54,Value 8,Value 2,Value 92,start,i_36
Case 1413,Take in charge ticket,2011-05-30 07:10:54,Value 8,Value 2,Value 92,complete,i_36
Case 1413,Resolve ticket,2011-05-30 07:46:18,Value 12,Value 2,Value 92,start,i_37
Case 1413,Resolve ticket,2011-05-30 07:46:18,Value 12,Value 2,Value 92,complete,i_37
Case 1413,Closed,2011-07-17 07:10:45,Value 5,Value 2,Value 92,start,i_38
Case 1413,Closed,2011-07-17 07:10:45,Value 5,Value 2,Value 92,complete,i_38
Case 1427,Assign seriousness,2012-05-07 12:19:32,Value 13,Value 1,Value 58,start,i_39
Case 1427,Assign seriousness,2012-05-07 12:19:32,Value 13,Value 1,Value 58,complete,i_39
Case 1427,Take in charge ticket,2012-05-07 12:19:42,Value 13,Value 1,Value 58,start,i_40
Case 1427,Take in charge ticket,2012-05-07 12:19:42,Value 13,Value 1,Value 58,complete,i_40
Case 1427,Resolve ticket,2012-05-14 15:09:07,Value 13,Value 1,Value 58,start,i_41
Case 1427,Resolve ticket,2012-05-14 15:09:07,Value 13,Value 1,Value 58,complete,i_41
Case 1427,Closed,2012-06-07 12:20:13,Value 5,Value 1,Value 58,start,i_42
Case 1427,Closed,2012-06-07 12:20:13,Value 5,Value 1,Value 58,complete,i_42
Case 1468,Assign seriousness,2010-02-02 10:18:33,Value 2,Value 3,Value 92,start,i_43
Case 1468,Assign seriousness,2010-02-02 10:18:33,Value 2,Value 3,Value 92,complete,i_43
Case 1468,Assign seriousness,2010-03-05 12:28:51,Value 16,Value 3,Value 92,start,i_44
Case 1468,Assign seriousness,2010-03-05 12:28:51,Value 16,Value 3,Value 92,complete,i_44
Case 1468,Take in charge ticket,2010-03-05 12:28:58,Value 16,Value 3,Value 92,start,i_45
Case 1468,Take in charge ticket,2010-03-05 12:28:58,Value 16,Value 3,Value 92,complete,i_45
Case 1468,Resolve ticket,2010-03-05 13:45:01,Value 16,Value 3,Value 92,start,i_46
Case 1468,Resolve ticket,2010-03-05 13:45:01,Value 16,Value 3,Value 92,complete,i_46
Case 1468,Closed,2010-03-20 13:45:16,Value 5,Value 3,Value 92,start,i_47
Case 1468,Closed,2010-03-20 13:45:16,Value 5,Value 3,Value 92,complete,i_47
Case 1486,Assign seriousness,2012-01-18 15:03:59,Value 1,Value 1,Value 97,start,i_48
Case 1486,Assign seriousness,2012-01-18 15:03:59,Value 1,Value 1,Value 97,complete,i_48
Case 1486,Take in charge ticket,2012-01-18 15:04:20,Value 1,Value 1,Value 97,start,i_49
Case 1486,Take in charge ticket,2012-01-18 15:04:20,Value 1,Value 1,Value 97,complete,i_49
Case 1486,Resolve ticket,2012-01-18 15:35:35,Value 13,Value 1,Value 97,start,i_50
Case 1486,Resolve ticket,2012-01-18 15:35:35,Value 13,Value 1,Value 97,complete,i_50
Case 1486,Closed,2012-02-18 15:10:24,Value 5,Value 1,Value 97,start,i_51
Case 1486,Closed,2012-02-18 15:10:24,Value 5,Value 1,Value 97,complete,i_51
Case 1551,Assign seriousness,2010-10-21 09:03:54,Value 2,Value 1,Value 53,start,i_52
Case 1551,Assign seriousness,2010-10-21 09:03:54,Value 2,Value 1,Value 53,complete,i_52
Case 1551,Take in charge ticket,2010-10-26 10:32:18,Value 2,Value 1,Value 53,start,i_53
Case 1551,Take in charge ticket,2010-10-26 10:32:18,Value 2,Value 1,Value 53,complete,i_53
Case 1551,Resolve ticket,2010-10-26 10:32:35,Value 2,Value 1,Value 53,start,i_54
Case 1551,Resolve ticket,2010-10-26 10:32:35,Value 2,Value 1,Value 53,complete,i_54
Case 1551,Closed,2010-11-24 10:10:51,Value 5,Value 1,Value 53,start,i_55
Case 1551,Closed,2010-11-24 10:10:51,Value 5,Value 1,Value 53,complete,i_55
Case 1612,Assign seriousness,2011-04-13 15:00:18,Value 2,Value 1,Value 107,start,i_56
Case 1612,Assign seriousness,2011-04-13 15:00:18,Value 2,Value 1,Value 107,complete,i_56
Case 1612,Take in charge ticket,2011-04-13 15:00:37,Value 2,Value 1,Value 107,start,i_57
Case 1612,Take in charge ticket,2011-04-13 15:00:37,Value 2,Value 1,Value 107,complete,i_57
Case 1612,Resolve ticket,2011-04-14 15:31:17,Value 2,Value 1,Value 107,start,i_58
Case 1612,Resolve ticket,2011-04-14 15:31:17,Value 2,Value 1,Value 107,complete,i_58
Case 1612,Closed,2011-05-27 15:10:42,Value 5,Value 1,Value 107,start,i_59
Case 1612,Closed,2011-05-27 15:10:42,Value 5,Value 1,Value 107,complete,i_59
Case 1666,Assign seriousness,2011-10-26 09:45:15,Value 1,Value 1,Value 308,start,i_60
Case 1666,Assign seriousness,2011-10-26 09:45:15,Value 1,Value 1,Value 308,complete,i_60
Case 1666,Take in charge ticket,2011-10-27 08:26:18,Value 2,Value 1,Value 308,start,i_61
Case 1666,Take in charge ticket,2011-10-27 08:26:18,Value 2,Value 1,Value 308,complete,i_61
Case 1666,Wait,2011-10-27 09:51:09,Value 1,Value 1,Value 308,start,i_62
Case 1666,Wait,2011-10-27 09:51:09,Value 1,Value 1,Value 308,complete,i_62
Case 1666,Resolve ticket,2011-11-16 15:13:41,Value 1,Value 1,Value 308,start,i_63
Case 1666,Resolve ticket,2011-11-16 15:13:41,Value 1,Value 1,Value 308,complete,i_63
Case 1666,Closed,2011-12-08 15:10:15,Value 5,Value 1,Value 308,start,i_64
Case 1666,Closed,2011-12-08 15:10:15,Value 5,Value 1,Value 308,complete,i_64
Case 1759,Insert ticket,2010-09-20 11:10:02,Value 5,Value 2,Value 92,start,i_65
Case 1759,Insert ticket,2010-09-20 11:10:02,Value 5,Value 2,Value 92,complete,i_65
Case 1759,Assign seriousness,2010-09-20 12:43:23,Value 2,Value 2,Value 92,start,i_66
Case 1759,Assign seriousness,2010-09-20 12:43:23,Value 2,Value 2,Value 92,complete,i_66
Case 1759,Take in charge ticket,2010-09-20 12:45:07,Value 12,Value 2,Value 92,start,i_67
Case 1759,Take in charge ticket,2010-09-20 12:45:07,Value 12,Value 2,Value 92,complete,i_67
Case 1759,Resolve ticket,2010-09-20 12:45:16,Value 12,Value 2,Value 92,start,i_68
Case 1759,Resolve ticket,2010-09-20 12:45:16,Value 12,Value 2,Value 92,complete,i_68
Case 1759,Closed,2010-11-04 13:45:56,Value 5,Value 2,Value 92,start,i_69
Case 1759,Closed,2010-11-04 13:45:56,Value 5,Value 2,Value 92,complete,i_69
Case 180,Assign seriousness,2011-10-06 10:23:22,Value 1,Value 1,Value 53,start,i_70
Case 180,Assign seriousness,2011-10-06 10:23:22,Value 1,Value 1,Value 53,complete,i_70
Case 180,Take in charge ticket,2011-10-06 14:07:44,Value 1,Value 1,Value 53,start,i_71
Case 180,Take in charge ticket,2011-10-06 14:07:44,Value 1,Value 1,Value 53,complete,i_71
Case 180,Resolve ticket,2011-10-06 14:31:30,Value 1,Value 1,Value 53,start,i_72
Case 180,Resolve ticket,2011-10-06 14:31:30,Value 1,Value 1,Value 53,complete,i_72
Case 180,Closed,2011-11-19 11:30:36,Value 5,Value 1,Value 53,start,i_73
Case 180,Closed,2011-11-19 11:30:36,Value 5,Value 1,Value 53,complete,i_73
Case 1840,Assign seriousness,2011-10-18 10:52:56,Value 4,Value 1,Value 22,start,i_74
Case 1840,Assign seriousness,2011-10-18 10:52:56,Value 4,Value 1,Value 22,complete,i_74
Case 1840,Assign seriousness,2011-10-18 10:54:34,Value 4,Value 1,Value 22,start,i_75
Case 1840,Assign seriousness,2011-10-18 10:54:34,Value 4,Value 1,Value 22,complete,i_75
Case 1840,Take in charge ticket,2011-10-18 10:54:44,Value 4,Value 1,Value 22,start,i_76
Case 1840,Take in charge ticket,2011-10-18 10:54:44,Value 4,Value 1,Value 22,complete,i_76
Case 1840,Resolve ticket,2011-10-18 10:59:56,Value 2,Value 1,Value 22,start,i_77
Case 1840,Resolve ticket,2011-10-18 10:59:56,Value 2,Value 1,Value 22,complete,i_77
Case 1840,Closed,2011-11-18 12:01:33,Value 5,Value 1,Value 22,start,i_78
Case 1840,Closed,2011-11-18 12:01:33,Value 5,Value 1,Value 22,complete,i_78
Case 1973,Insert ticket,2010-06-03 14:42:45,Value 5,Value 1,Value 92,start,i_79
Case 1973,Insert ticket,2010-06-03 14:42:45,Value 5,Value 1,Value 92,complete,i_79
Case 1973,Assign seriousness,2010-06-04 07:30:00,Value 2,Value 1,Value 92,start,i_80
Case 1973,Assign seriousness,2010-06-04 07:30:00,Value 2,Value 1,Value 92,complete,i_80
Case 1973,Take in charge ticket,2010-06-09 15:39:17,Value 5,Value 1,Value 92,start,i_81
Case 1973,Take in charge ticket,2010-06-09 15:39:17,Value 5,Value 1,Value 92,complete,i_81
Case 1973,Resolve ticket,2010-06-16 09:04:09,Value 2,Value 1,Value 92,start,i_82
Case 1973,Resolve ticket,2010-06-16 09:04:09,Value 2,Value 1,Value 92,complete,i_82
Case 1973,Closed,2010-07-17 14:50:24,Value 5,Value 1,Value 92,start,i_83
Case 1973,Closed,2010-07-17 14:50:24,Value 5,Value 1,Value 92,complete,i_83
Case 1975,Assign seriousness,2013-04-17 15:14:41,Value 1,Value 1,Value 37,start,i_84
Case 1975,Assign seriousness,2013-04-17 15:14:41,Value 1,Value 1,Value 37,complete,i_84
Case 1975,Take in charge ticket,2013-04-29 07:32:38,Value 2,Value 1,Value 37,start,i_85
Case 1975,Take in charge ticket,2013-04-29 07:32:38,Value 2,Value 1,Value 37,complete,i_85
Case 1975,Resolve ticket,2013-05-06 14:19:02,Value 4,Value 1,Value 37,start,i_86
Case 1975,Resolve ticket,2013-05-06 14:19:02,Value 4,Value 1,Value 37,complete,i_86
Case 1975,Closed,2013-05-21 14:19:16,Value 3,Value 1,Value 37,start,i_87
Case 1975,Closed,2013-05-21 14:19:16,Value 3,Value 1,Value 37,complete,i_87
Case 2116,Assign seriousness,2012-01-11 10:54:53,Value 1,Value 1,Value 27,start,i_88
Case 2116,Assign seriousness,2012-01-11 10:54:53,Value 1,Value 1,Value 27,complete,i_88
Case 2116,Take in charge ticket,2012-01-11 10:55:04,Value 1,Value 1,Value 27,start,i_89
Case 2116,Take in charge ticket,2012-01-11 10:55:04,Value 1,Value 1,Value 27,complete,i_89
Case 2116,Resolve ticket,2012-01-11 14:10:33,Value 1,Value 1,Value 27,start,i_90
Case 2116,Resolve ticket,2012-01-11 14:10:33,Value 1,Value 1,Value 27,complete,i_90
Case 2116,Closed,2012-02-11 11:00:24,Value 5,Value 1,Value 27,start,i_91
Case 2116,Closed,2012-02-11 11:00:24,Value 5,Value 1,Value 27,complete,i_91
Case 2245,Assign seriousness,2013-05-09 07:27:51,Value 1,Value 1,Value 22,start,i_92
Case 2245,Assign seriousness,2013-05-09 07:27:51,Value 1,Value 1,Value 22,complete,i_92
Case 2245,Take in charge ticket,2013-05-09 07:44:43,Value 1,Value 1,Value 22,start,i_93
Case 2245,Take in charge ticket,2013-05-09 07:44:43,Value 1,Value 1,Value 22,complete,i_93
Case 2245,Wait,2013-05-09 07:52:26,Value 1,Value 1,Value 22,start,i_94
Case 2245,Wait,2013-05-09 07:52:26,Value 1,Value 1,Value 22,complete,i_94
Case 2245,Resolve ticket,2013-06-03 08:09:55,Value 1,Value 1,Value 22,start,i_95
Case 2245,Resolve ticket,2013-06-03 08:09:55,Value 1,Value 1,Value 22,complete,i_95
Case 2245,Closed,2013-06-18 08:10:08,Value 3,Value 1,Value 22,start,i_96
Case 2245,Closed,2013-06-18 08:10:08,Value 3,Value 1,Value 22,complete,i_96
Case 2291,Assign seriousness,2011-01-12 16:35:03,Value 8,Value 1,Value 36,start,i_97
Case 2291,Assign seriousness,2011-01-12 16:35:03,Value 8,Value 1,Value 36,complete,i_97
Case 2291,Take in charge ticket,2011-01-14 11:26:55,Value 14,Value 1,Value 36,start,i_98
Case 2291,Take in charge ticket,2011-01-14 11:26:55,Value 14,Value 1,Value 36,complete,i_98
Case 2291,Resolve ticket,2011-01-14 11:27:11,Value 14,Value 1,Value 36,start,i_99
Case 2291,Resolve ticket,2011-01-14 11:27:11,Value 14,Value 1,Value 36,complete,i_99
Case 2291,Closed,2011-02-12 16:40:33,Value 5,Value 1,Value 36,start,i_100
Case 2291,Closed,2011-02-12 16:40:33,Value 5,Value 1,Value 36,complete,i_100
Case 2296,Assign seriousness,2012-08-07 09:48:10,Value 13,Value 1,Value 25,start,i_101
Case 2296,Assign seriousness,2012-08-07 09:48:10,Value 13,Value 1,Value 25,complete,i_101
Case 2296,Take in charge ticket,2012-08-07 09:48:17,Value 13,Value 1,Value 25,start,i_102
Case 2296,Take in charge ticket,2012-08-07 09:48:17,Value 13,Value 1,Value 25,complete,i_102
Case 2296,Resolve ticket,2012-08-07 10:06:48,Value 13,Value 1,Value 25,start,i_103
Case 2296,Resolve ticket,2012-08-07 10:06:48,Value 13,Value 1,Value 25,complete,i_103
Case 2296,Closed,2012-09-12 09:50:25,Value 5,Value 1,Value 25,start,i_104
Case 2296,Closed,2012-09-12 09:50:25,Value 5,Value 1,Value 25,complete,i_104
Case 2304,Assign seriousness,2011-11-15 14:16:32,Value 1,Value 1,Value 9,start,i_105
Case 2304,Assign seriousness,2011-11-15 14:16:32,Value 1,Value 1,Value 9,complete,i_105
Case 2304,Take in charge ticket,2011-11-16 16:08:35,Value 9,Value 1,Value 9,start,i_106
Case 2304,Take in charge ticket,2011-11-16 16:08:35,Value 9,Value 1,Value 9,complete,i_106
Case 2304,Wait,2011-11-17 14:49:05,Value 9,Value 1,Value 9,start,i_107
Case 2304,Wait,2011-11-17 14:49:05,Value 9,Value 1,Value 9,complete,i_107
Case 2304,Take in charge ticket,2011-11-25 10:57:44,Value 9,Value 1,Value 9,start,i_108
Case 2304,Take in charge ticket,2011-11-25 10:57:44,Value 9,Value 1,Value 9,complete,i_108
Case 2304,Wait,2011-12-02 08:19:53,Value 9,Value 1,Value 9,start,i_109
Case 2304,Wait,2011-12-02 08:19:53,Value 9,Value 1,Value 9,complete,i_109
Case 2304,Resolve ticket,2011-12-19 08:22:52,Value 9,Value 1,Value 9,start,i_110
Case 2304,Resolve ticket,2011-12-19 08:22:52,Value 9,Value 1,Value 9,complete,i_110
Case 2304,Closed,2012-01-03 08:23:09,Value 5,Value 1,Value 9,start,i_111
Case 2304,Closed,2012-01-03 08:23:09,Value 5,Value 1,Value 9,complete,i_111
Case 2305,Assign seriousness,2011-03-31 14:11:12,Value 8,Value 1,Value 336,start,i_112
Case 2305,Assign seriousness,2011-03-31 14:11:12,Value 8,Value 1,Value 336,complete,i_112
Case 2305,Take in charge ticket,2011-03-31 14:11:23,Value 8,Value 1,Value 336,start,i_113
Case 2305,Take in charge ticket,2011-03-31 14:11:23,Value 8,Value 1,Value 336,complete,i_113
Case 2305,Resolve ticket,2011-03-31 15:50:54,Value 8,Value 1,Value 336,start,i_114
Case 2305,Resolve ticket,2011-03-31 15:50:54,Value 8,Value 1,Value 336,complete,i_114
Case 2305,Closed,2011-05-03 14:20:21,Value 5,Value 1,Value 336,start,i_115
Case 2305,Closed,2011-05-03 14:20:21,Value 5,Value 1,Value 336,complete,i_115
Case 231,Assign seriousness,2010-10-19 14:08:14,Value 14,Value 1,Value 3,start,i_116
Case 231,Assign seriousness,2010-10-19 14:08:14,Value 14,Value 1,Value 3,complete,i_116
Case 231,Assign seriousness,2010-10-20 16:03:58,Value 2,Value 1,Value 3,start,i_117
Case 231,Assign seriousness,2010-10-20 16:03:58,Value 2,Value 1,Value 3,complete,i_117
Case 231,Take in charge ticket,2010-10-20 16:04:16,Value 2,Value 1,Value 3,start,i_118
Case 231,Take in charge ticket,2010-10-20 16:04:16,Value 2,Value 1,Value 3,complete,i_118
Case 231,Resolve ticket,2010-10-21 08:26:29,Value 15,Value 1,Value 3,start,i_119
Case 231,Resolve ticket,2010-10-21 08:26:29,Value 15,Value 1,Value 3,complete,i_119
Case 231,Closed,2010-12-03 15:10:20,Value 5,Value 1,Value 3,start,i_120
Case 231,Closed,2010-12-03 15:10:20,Value 5,Value 1,Value 3,complete,i_120
Case 2314,Assign seriousness,2011-01-03 16:04:29,Value 13,Value 1,Value 312,start,i_121
Case 2314,Assign seriousness,2011-01-03 16:04:29,Value 13,Value 1,Value 312,complete,i_121
Case 2314,Take in charge ticket,2011-01-04 10:45:30,Value 13,Value 1,Value 312,start,i_122
Case 2314,Take in charge ticket,2011-01-04 10:45:30,Value 13,Value 1,Value 312,complete,i_122
Case 2314,Resolve ticket,2011-01-04 10:46:28,Value 13,Value 1,Value 312,start,i_123
Case 2314,Resolve ticket,2011-01-04 10:46:28,Value 13,Value 1,Value 312,complete,i_123
Case 2314,Closed,2011-02-09 16:10:20,Value 5,Value 1,Value 312,start,i_124
Case 2314,Closed,2011-02-09 16:10:20,Value 5,Value 1,Value 312,complete,i_124
Case 2356,Assign seriousness,2013-09-18 13:36:29,Value 18,Value 1,Value 148,start,i_125
Case 2356,Assign seriousness,2013-09-18 13:36:29,Value 18,Value 1,Value 148,complete,i_125
Case 2356,Take in charge ticket,2013-09-19 07:49:48,Value 2,Value 1,Value 148,start,i_126
Case 2356,Take in charge ticket,2013-09-19 07:49:48,Value 2,Value 1,Value 148,complete,i_126
Case 2356,Wait,2013-09-20 07:53:21,Value 2,Value 1,Value 148,start,i_127
Case 2356,Wait,2013-09-20 07:53:21,Value 2,Value 1,Value 148,complete,i_127
Case 2356,Wait,2013-10-01 12:08:31,Value 2,Value 1,Value 148,start,i_128
Case 2356,Wait,2013-10-01 12:08:31,Value 2,Value 1,Value 148,complete,i_128
Case 2356,Resolve ticket,2013-10-29 10:22:19,Value 4,Value 1,Value 148,start,i_129
Case 2356,Resolve ticket,2013-10-29 10:22:19,Value 4,Value 1,Value 148,complete,i_129
Case 2356,Closed,2013-11-13 10:22:33,Value 3,Value 1,Value 148,start,i_130
Case 2356,Closed,2013-11-13 10:22:33,Value 3,Value 1,Value 148,complete,i_130
Case 24,Assign seriousness,2010-04-27 09:49:56,Value 2,Value 1,Value 18,start,i_131
Case 24,Assign seriousness,2010-04-27 09:49:56,Value 2,Value 1,Value 18,complete,i_131
Case 24,Take in charge ticket,2010-06-08 11:06:56,Value 2,Value 1,Value 18,start,i_132
Case 24,Take in charge ticket,2010-06-08 11:06:56,Value 2,Value 1,Value 18,complete,i_132
Case 24,Resolve ticket,2010-06-08 14:46:16,Value 2,Value 1,Value 18,start,i_133
Case 24,Resolve ticket,2010-06-08 14:46:16,Value 2,Value 1,Value 18,complete,i_133
Case 24,Closed,2010-06-23 14:46:28,Value 5,Value 1,Value 18,start,i_134
Case 24,Closed,2010-06-23 14:46:28,Value 5,Value 1,Value 18,complete,i_134
Case 241,Assign seriousness,2012-05-17 15:53:08,Value 1,Value 2,Value 8,start,i_135
Case 241,Assign seriousness,2012-05-17 15:53:08,Value 1,Value 2,Value 8,complete,i_135
Case 241,Take in charge ticket,2012-05-18 06:58:20,Value 6,Value 2,Value 8,start,i_136
Case 241,Take in charge ticket,2012-05-18 06:58:20,Value 6,Value 2,Value 8,complete,i_136
Case 241,Resolve ticket,2012-05-21 08:27:17,Value 16,Value 2,Value 8,start,i_137
Case 241,Resolve ticket,2012-05-21 08:27:17,Value 16,Value 2,Value 8,complete,i_137
Case 241,Closed,2012-06-30 16:03:05,Value 5,Value 2,Value 8,start,i_138
Case 241,Closed,2012-06-30 16:03:05,Value 5,Value 2,Value 8,complete,i_138
Case 2427,Assign seriousness,2011-09-27 12:27:13,Value 1,Value 1,Value 341,start,i_139
Case 2427,Assign seriousness,2011-09-27 12:27:13,Value 1,Value 1,Value 341,complete,i_139
Case 2427,Take in charge ticket,2011-09-30 14:10:24,Value 13,Value 1,Value 341,start,i_140
Case 2427,Take in charge ticket,2011-09-30 14:10:24,Value 13,Value 1,Value 341,complete,i_140
Case 2427,Resolve ticket,2011-10-07 09:05:58,Value 13,Value 1,Value 341,start,i_141
Case 2427,Resolve ticket,2011-10-07 09:05:58,Value 13,Value 1,Value 341,complete,i_141
Case 2427,Closed,2011-10-28 12:30:28,Value 5,Value 1,Value 341,start,i_142
Case 2427,Closed,2011-10-28 12:30:28,Value 5,Value 1,Value 341,complete,i_142
Case 2433,Assign seriousness,2011-11-16 11:22:44,Value 1,Value 1,Value 253,start,i_143
Case 2433,Assign seriousness,2011-11-16 11:22:44,Value 1,Value 1,Value 253,complete,i_143
Case 2433,Resolve ticket,2011-11-16 11:24:12,Value 1,Value 1,Value 253,start,i_144
Case 2433,Resolve ticket,2011-11-16 11:24:12,Value 1,Value 1,Value 253,complete,i_144
Case 2433,Closed,2011-12-17 11:30:44,Value 5,Value 1,Value 253,start,i_145
Case 2433,Closed,2011-12-17 11:30:44,Value 5,Value 1,Value 253,complete,i_145
Case 2497,Assign seriousness,2012-07-18 15:21:27,Value 13,Value 2,Value 92,start,i_146
Case 2497,Assign seriousness,2012-07-18 15:21:27,Value 13,Value 2,Value 92,complete,i_146
Case 2497,Take in charge ticket,2012-07-19 06:56:32,Value 6,Value 2,Value 92,start,i_147
